Company,Industry
Walmart,Consumer Defensive
Amazon.com,Consumer Cyclical
Exxon Mobil,Energy
Apple,Technology
UnitedHealth Group,Healthcare
CVS Health,Healthcare
Berkshire Hathaway,Financial Services
Alphabet,Communication Services
McKesson,Healthcare
Chevron,Energy
AmerisourceBergen,Healthcare
Costco Wholesale,Consumer Defensive
Microsoft,Technology
Cardinal Health,Healthcare
Cigna Group,Healthcare
Marathon Petroleum,Energy
Phillips 66,Energy
Valero Energy,Energy
Ford Motor,Consumer Cyclical
Home Depot,Consumer Cyclical
General Motors,Consumer Cyclical
Elevance Health,Healthcare
JPMorgan Chase,Financial Services
Kroger,Consumer Defensive
Centene,Healthcare
Verizon Communications,Communication Services
Walgreens Boots Alliance,Healthcare
Fannie Mae,Financial Services
Comcast,Communication Services
AT&T,Communication Services
Meta Platforms,Communication Services
Bank of America,Financial Services
Target,Consumer Defensive
Dell Technologies,Technology
Archer Daniels Midland,Consumer Defensive
Citigroup,Financial Services
United Parcel Service,Industrials
Pfizer,Healthcare
Lowe's,Consumer Cyclical
Johnson & Johnson,Healthcare
FedEx,Industrials
Humana,Healthcare
Energy Transfer,Energy
State Farm Insurance,Financial Services
Freddie Mac,Financial Services
PepsiCo,Consumer Defensive
Wells Fargo,Financial Services
Walt Disney,Communication Services
ConocoPhillips,Energy
Tesla,Consumer Cyclical
Procter & Gamble,Consumer Defensive
General Electric,Industrials
Albertsons,Consumer Defensive
MetLife,Financial Services
Goldman Sachs Group,Financial Services
Sysco,Consumer Defensive
Raytheon Technologies,Industrials
Boeing,Industrials
StoneX Group,Financial Services
Lockheed Martin,Industrials
Morgan Stanley,Financial Services
Intel,Technology
HP,Technology
TD Synnex,Technology
International Business Machines,Technology
HCA Healthcare,Healthcare
Prudential Financial,Financial Services
Caterpillar,Industrials
Merck,Healthcare
World Fuel Services,Energy
New York Life Insurance,Financial Services
Enterprise Products Partners,Energy
AbbVie,Healthcare
Plains GP Holdings,Energy
Dow,Basic Materials
American International Group,Financial Services
American Express,Financial Services
Publix Super Markets,Consumer Defensive
Charter Communications,Communication Services
Tyson Foods,Consumer Defensive
Deere,Industrials
Cisco Systems,Technology
Nationwide,Financial Services
Allstate,Financial Services
Delta Air Lines,Industrials
Liberty Mutual Insurance Group,Financial Services
TJX,Consumer Cyclical
Progressive,Financial Services
American Airlines Group,Industrials
CHS,Basic Materials
Performance Food Group,Consumer Defensive
PBF Energy,Energy
Nike,Consumer Cyclical
Best Buy,Consumer Cyclical
Bristol-Myers Squibb,Healthcare
United Airlines Holdings,Industrials
Thermo Fisher Scientific,Healthcare
Qualcomm,Technology
Abbott Laboratories,Healthcare
Coca-Cola,Consumer Defensive
Oracle,Technology
Nucor,Basic Materials
TIAA,Financial Services
Massachusetts Mutual Life Insurance,Financial Services
General Dynamics,Industrials
Capital One Financial,Financial Services
HF Sinclair,Energy
Dollar General,Consumer Defensive
Arrow Electronics,Technology
Occidental Petroleum,Energy
Northwestern Mutual,Financial Services
Travelers,Financial Services
Northrop Grumman,Industrials
United Services Automobile Assn.,Financial Services
Honeywell International,Industrials
3M,Industrials
US Foods Holding,Consumer Defensive
Warner Bros. Discovery,Communication Services
Lennar,Consumer Cyclical
D.R. Horton,Consumer Cyclical
Jabil,Technology
Cheniere Energy,Energy
Broadcom,Technology
CarMax,Consumer Cyclical
Starbucks,Consumer Cyclical
Molina Healthcare,Healthcare
Uber Technologies,Technology
Philip Morris International,Consumer Defensive
Netflix,Communication Services
NRG Energy,Utilities
Mondelez International,Consumer Defensive
Danaher,Healthcare
Salesforce,Technology
Paramount Global,Communication Services
CBRE Group,Real Estate
Micron Technology,Technology
Visa,Financial Services
Southern,Utilities
United Natural Foods,Consumer Defensive
Paccar,Industrials
Duke Energy,Utilities
Eli Lilly,Healthcare
Hewlett Packard Enterprise,Technology
Dollar Tree,Consumer Defensive
Lithia Motors,Consumer Cyclical
Cummins,Industrials
Penske Automotive Group,Consumer Cyclical
PayPal Holdings,Financial Services
U.S. Bancorp,Financial Services
Gilead Sciences,Healthcare
AutoNation,Consumer Cyclical
Nvidia,Technology
Kraft Heinz,Consumer Defensive
Amgen,Healthcare
Applied Materials,Technology
EOG Resources,Energy
Truist Financial,Financial Services
Macy's,Consumer Cyclical
Union Pacific,Industrials
C.H. Robinson Worldwide,Industrials
Rite Aid,Healthcare
Constellation Energy,Utilities
Avnet,Technology
Pioneer Natural Resources,Energy
Southwest Airlines,Industrials
CDW,Technology
Advanced Micro Devices,Technology
PNC Financial Services Group,Financial Services
McDonald's,Consumer Cyclical
Cleveland-Cliffs,Basic Materials
Freeport-McMoRan,Basic Materials
Builders FirstSource,Industrials
Oneok,Energy
Hartford Financial Services Group,Financial Services
Charles Schwab,Financial Services
Steel Dynamics,Basic Materials
Mastercard,Financial Services
Sherwin-Williams,Basic Materials
Genuine Parts,Consumer Cyclical
PG&E,Utilities
WESCO International,Industrials
Murphy USA,Consumer Cyclical
WestRock,Consumer Cyclical
International Paper,Consumer Cyclical
Baker Hughes,Energy
United States Steel,Basic Materials
NextEra Energy,Utilities
Targa Resources,Energy
Lear,Consumer Cyclical
Jones Lang LaSalle,Real Estate
Goodyear Tire & Rubber,Consumer Cyclical
Marriott International,Consumer Cyclical
Marsh & McLennan,Financial Services
Altria Group,Consumer Defensive
Coupang,Consumer Cyclical
Carrier Global,Industrials
Halliburton,Energy
Delek US Holdings,Energy
Kimberly-Clark,Consumer Defensive
Texas Instruments,Technology
Bank of New York Mellon,Financial Services
ManpowerGroup,Industrials
Whirlpool,Consumer Cyclical
Waste Management,Industrials
American Electric Power,Utilities
Emerson Electric,Industrials
Aflac,Financial Services
Cognizant Technology Solutions,Technology
Becton Dickinson,Healthcare
BJ's Wholesale Club,Consumer Defensive
Moderna,Healthcare
DTE Energy,Utilities
Land O'Lakes,Consumer Defensive
Kinder Morgan,Energy
Tenet Healthcare,Healthcare
Devon Energy,Energy
Mosaic,Basic Materials
Exelon,Utilities
General Mills,Consumer Defensive
Global Partners,Energy
Western Digital,Technology
Lincoln National,Financial Services
Ross Stores,Consumer Cyclical
Stryker,Healthcare
Kyndryl Holdings,Technology
Kohl's,Consumer Cyclical
Stanley Black & Decker,Industrials
Colgate-Palmolive,Consumer Defensive
BlackRock,Financial Services
Fiserv,Technology
Estée Lauder,Consumer Defensive
PPG Industries,Basic Materials
Adobe,Technology
Block,Technology
Synchrony Financial,Financial Services
Principal Financial,Financial Services
Lumen Technologies,Communication Services
Corteva,Basic Materials
Andersons,Consumer Defensive
Lam Research,Technology
Edison International,Utilities
Dominion Energy,Utilities
Booking Holdings,Consumer Cyclical
Quanta Services,Industrials
Expeditors International of Washington,Industrials
L3Harris Technologies,Industrials
Reliance Steel & Aluminum,Basic Materials
Live Nation Entertainment,Communication Services
DISH Network,Communication Services
DuPont,Basic Materials
Automatic Data Processing,Industrials
Group 1 Automotive,Consumer Cyclical
Aramark,Industrials
Thor Industries,Consumer Cyclical
DXC Technology,Technology
Viatris,Healthcare
Reinsurance Group of America,Financial Services
AutoZone,Consumer Cyclical
PulteGroup,Consumer Cyclical
Illinois Tool Works,Industrials
Parker-Hannifin,Industrials
BorgWarner,Consumer Cyclical
Westlake,Basic Materials
Consolidated Edison,Utilities
Gap,Consumer Cyclical
Opendoor Technologies,Real Estate
Nordstrom,Consumer Cyclical
Asbury Automotive Group,Consumer Cyclical
Ball,Basic Materials
Kellogg,Consumer Defensive
Xcel Energy,Utilities
W.W. Grainger,Industrials
Discover Financial Services,Financial Services
Baxter International,Healthcare
Southwestern Energy,Energy
DCP Midstream,Energy
Jacobs Solutions,Industrials
Laboratory Corp. of America,Healthcare
CSX,Industrials
J.B. Hunt Transport Services,Industrials
Guardian Life Ins. Co. of America,Financial Services
Jackson Financial,Financial Services
Fidelity National Information Services,Technology
Berry Global Group,Consumer Cyclical
Sempra,Utilities
IQVIA Holdings,Healthcare
O'Reilly Automotive,Consumer Cyclical
Leidos Holdings,Technology
Ameriprise Financial,Financial Services
Omnicom Group,Communication Services
Tractor Supply,Consumer Cyclical
Corning,Technology
Ecolab,Basic Materials
Icahn Enterprises,Energy
Farmers Insurance Exchange,Financial Services
Keurig Dr Pepper,Consumer Defensive
Loews,Financial Services
Equitable Holdings,Financial Services
Sonic Automotive,Consumer Cyclical
Fox,Communication Services
American Family Insurance Group,Financial Services
Entergy,Utilities
Fluor,Industrials
Vistra,Utilities
State Street,Financial Services
Otis Worldwide,Industrials
Peter Kiewit Sons',Industrials
Carvana,Consumer Cyclical
Republic Services,Industrials
AECOM,Industrials
Universal Health Services,Healthcare
Pacific Life,Financial Services
VMware,Technology
Western & Southern Financial Group,Financial Services
MGM Resorts International,Consumer Cyclical
Casey's General Stores,Consumer Cyclical
Crown Holdings,Consumer Cyclical
Textron,Industrials
LKQ,Consumer Cyclical
Norfolk Southern,Industrials
Intuit,Technology
Air Products & Chemicals,Basic Materials
Boston Scientific,Healthcare
AGCO,Industrials
Henry Schein,Healthcare
Amphenol,Technology
AES,Utilities
Mutual of Omaha Insurance,Financial Services
Ovintiv,Energy
Hormel Foods,Consumer Defensive
Alcoa,Basic Materials
International Flavors & Fragrances,Basic Materials
Jones Financial (Edward Jones),Financial Services
Dick's Sporting Goods,Consumer Cyclical
Eversource Energy,Utilities
Wayfair,Consumer Cyclical
Community Health Systems,Healthcare
Ally Financial,Financial Services
Regeneron Pharmaceuticals,Healthcare
Liberty Media,Communication Services
APA,Energy
Qurate Retail,Consumer Cyclical
FirstEnergy,Utilities
Analog Devices,Technology
Ryder System,Industrials
Avis Budget Group,Industrials
Unum Group,Financial Services
Newmont,Basic Materials
VF,Consumer Cyclical
Chesapeake Energy,Energy
Mohawk Industries,Consumer Cyclical
Markel,Financial Services
Expedia Group,Consumer Cyclical
Caesars Entertainment,Consumer Cyclical
United Rentals,Industrials
Apollo Global Management,Financial Services
DaVita,Healthcare
Hess,Energy
Fidelity National Financial,Financial Services
Conagra Brands,Consumer Defensive
Univar Solutions,Basic Materials
Auto-Owners Insurance,Financial Services
Raymond James Financial,Financial Services
Seaboard,Industrials
CF Industries Holdings,Basic Materials
S&P Global,Financial Services
W.R. Berkley,Financial Services
Advance Auto Parts,Consumer Cyclical
EMCOR Group,Industrials
Williams,Energy
Interpublic Group,Communication Services
TravelCenters of America,Consumer Cyclical
American Tower,Real Estate
Molson Coors Beverage,Consumer Defensive
Huntington Ingalls Industries,Industrials
NVR,Consumer Cyclical
Eastman Chemical,Basic Materials
Graybar Electric,Basic Materials
Insight Enterprises,Technology
Hershey,Consumer Defensive
News Corp.,Communication Services
Toll Brothers,Consumer Cyclical
Ulta Beauty,Consumer Cyclical
Assurant,Financial Services
Weyerhaeuser,Real Estate
Biogen,Healthcare
Dana,Consumer Cyclical
UGI,Utilities
Chewy,Consumer Cyclical
Owens & Minor,Healthcare
Quest Diagnostics,Healthcare
Public Service Enterprise Group,Utilities
Ebay,Consumer Cyclical
MasTec,Industrials
Owens Corning,Industrials
Celanese,Basic Materials
Altice USA,Communication Services
Alaska Air Group,Industrials
SpartanNash,Consumer Defensive
Diamondback Energy,Energy
Intercontinental Exchange,Financial Services
Darden Restaurants,Consumer Cyclical
UFP Industries,Basic Materials
WEC Energy Group,Utilities
Yum China Holdings,Consumer Cyclical
EnLink Midstream,Energy
Continental Resources,Energy
Newell Brands,Consumer Defensive
Graphic Packaging Holding,Consumer Cyclical
Olin,Basic Materials
Fifth Third Bancorp,Financial Services
Thrivent Financial for Lutherans,Financial Services
CenterPoint Energy,Utilities
