Name,Sector,Symbol
Walmart,General Merchandisers,WMT
Amazon.com,Internet Services and Retailing,AMZN
Exxon Mobil,Petroleum Refining,XOM
Apple,"Computers, Office Equipment",AAPL
UnitedHealth Group,Health Care: Insurance and Managed Care,UNH
CVS Health,Health Care: Pharmacy and Other Services,CVS
Berkshire Hathaway,Insurance: Property and Casualty (Stock),BRKA
Alphabet,Internet Services and Retailing,GOOGL
McKesson,Wholesalers: Health Care,MCK
Chevron,Petroleum Refining,CVX
AmerisourceBergen,Wholesalers: Health Care,ABC
Costco Wholesale,General Merchandisers,COST
Microsoft,Computer Software,MSFT
Cardinal Health,Wholesalers: Health Care,CAH
Cigna Group,Health Care: Pharmacy and Other Services,CI
Marathon Petroleum,Petroleum Refining,MPC
Phillips 66,Petroleum Refining,PSX
Valero Energy,Petroleum Refining,VLO
Ford Motor,Motor Vehicles & Parts,F
Home Depot,Specialty Retailers: Other,HD
General Motors,Motor Vehicles & Parts,GM
Elevance Health,Health Care: Insurance and Managed Care,ELV
JPMorgan Chase,Commercial Banks,JPM
Kroger,Food and Drug Stores,KR
Centene,Health Care: Insurance and Managed Care,CNC
Verizon Communications,Telecommunications,VZ
Walgreens Boots Alliance,Food and Drug Stores,WBA
Fannie Mae,Diversified Financials,FNMA
Comcast,Telecommunications,CMCSA
AT&T,Telecommunications,T
Meta Platforms,Internet Services and Retailing,META
Bank of America,Commercial Banks,BAC
Target,General Merchandisers,TGT
Dell Technologies,"Computers, Office Equipment",DELL
Archer Daniels Midland,Food Production,ADM
Citigroup,Commercial Banks,C
United Parcel Service,"Mail, Package and Freight Delivery",UPS
Pfizer,Pharmaceuticals,PFE
Lowe's,Specialty Retailers: Other,LOW
Johnson & Johnson,Pharmaceuticals,JNJ
FedEx,"Mail, Package and Freight Delivery",FDX
Humana,Health Care: Insurance and Managed Care,HUM
Energy Transfer,Pipelines,ET
State Farm Insurance,Insurance: Property and Casualty (Mutual),
Freddie Mac,Diversified Financials,FMCC
PepsiCo,Food Consumer Products,PEP
Wells Fargo,Commercial Banks,WFC
Walt Disney,Entertainment,DIS
ConocoPhillips,"Mining, Crude-Oil Production",COP
Tesla,Motor Vehicles & Parts,TSLA
Procter & Gamble,Household and Personal Products,PG
General Electric,Industrial Machinery,GE
Albertsons,Food and Drug Stores,ACI
MetLife,"Insurance: Life, Health (Stock)",MET
Goldman Sachs Group,Commercial Banks,GS
Sysco,Wholesalers: Food and Grocery,SYY
Raytheon Technologies,Aerospace & Defense,RTX
Boeing,Aerospace & Defense,BA
StoneX Group,Diversified Financials,SNEX
Lockheed Martin,Aerospace & Defense,LMT
Morgan Stanley,Commercial Banks,MS
Intel,Semiconductors and Other Electronic Components,INTC
HP,"Computers, Office Equipment",HPQ
TD Synnex,Wholesalers: Electronics and Office Equipment,SNX
International Business Machines,Information Technology Services,IBM
HCA Healthcare,Health Care: Medical Facilities,HCA
Prudential Financial,"Insurance: Life, Health (Stock)",PRU
Caterpillar,Construction and Farm Machinery,CAT
Merck,Pharmaceuticals,MRK
World Fuel Services,Energy,INT
New York Life Insurance,"Insurance: Life, Health (Mutual)",
Enterprise Products Partners,Pipelines,EPD
AbbVie,Pharmaceuticals,ABBV
Plains GP Holdings,Pipelines,PAGP
Dow,Chemicals,DOW
American International Group,Insurance: Property and Casualty (Stock),AIG
American Express,Diversified Financials,AXP
Publix Super Markets,Food and Drug Stores,
Charter Communications,Telecommunications,CHTR
Tyson Foods,Food Production,TSN
Deere,Construction and Farm Machinery,DE
Cisco Systems,Network and Other Communications Equipment,CSCO
Nationwide,Insurance: Property and Casualty (Mutual),
Allstate,Insurance: Property and Casualty (Stock),ALL
Delta Air Lines,Airlines,DAL
Liberty Mutual Insurance Group,Insurance: Property and Casualty (Stock),
TJX,Specialty Retailers: Apparel,TJX
Progressive,Insurance: Property and Casualty (Stock),PGR
American Airlines Group,Airlines,AAL
CHS,Food Production,
Performance Food Group,Wholesalers: Food and Grocery,PFGC
PBF Energy,Petroleum Refining,PBF
Nike,Apparel,NKE
