Name,Sector,Symbol
3M,Industrials,MMM
A-Mark Precious Metals,Financial Services,AMRK
A.O. Smith,Industrials,AOS
AAR,Industrials,AIR
Abbott Laboratories,Healthcare,ABT
AbbVie,Healthcare,ABBV
Abercrombie & Fitch,Unknown Sector,ANF
AbitibiBowater,Basic Materials,ABH
ABM Industries,Industrials,ABM
Academy Sports and Outdoors,Unknown Sector,ASO
Acadia Healthcare,Unknown Sector,ACHC
Actavis,Healthcare,ACT
Activision Blizzard,Communication Services,ATVI
Acuity Brands,Industrials,AYI
Adobe,Technology,ADBE
Adobe Systems,Technology,ADBE
ADP,Industrials,ADP
ADT,Unknown Sector,ADT
Advance Auto Parts,Consumer Cyclical,AAP
Advanced Micro Devices,Technology,AMD
Advantage Solutions,Unknown Sector,ADV
AECOM,Industrials,ACM
AECOM Technology,Industrials,ACM
Aerojet Rocketdyne Holdings,Unknown Sector,nan
AES,Utilities,AES
Aetna,Healthcare,AET
Affiliated Managers Group,Unknown Sector,MGRE
Aflac,Financial Services,AFL
AGCO,Industrials,AGCO
Agilent Technologies,Healthcare,A
AGL Resources,Energy,AGL
AIG,Financial Services,AIG
Air Lease,Unknown Sector,AL
Air Products & Chemicals,Basic Materials,APD
Airbnb,Consumer Cyclical,ABNB
Airgas,Basic Materials,ARG
AK Steel Holding,Basic Materials,nan
Akamai Technologies,Unknown Sector,AKAM
Alaska Air Group,Industrials,ALK
Albemarle,Basic Materials,ALB
Albertsons,Consumer Defensive,nan
Albertsons Cos.,Consumer Defensive,ACI
Alcoa,Basic Materials,AA
Aleris,Basic Materials,ARS
Alexandria Real Estate Equities,Unknown Sector,ARE
Alexion Pharmaceuticals,Unknown Sector,ALXN
Align Technology,Unknown Sector,ALGN
Alleghany,Financial Services,Y
Allegheny Technologies,Industrials,ATI
Allergan,Healthcare,AGN
Alliance Data Systems,Financial Services,BFH
Alliant Energy,Unknown Sector,LNT
Alliant Techsystems,Industrials,ATK
Allison Transmission Holdings,Unknown Sector,ALSN
Allstate,Financial Services,ALL
Ally Financial,Financial Services,ALLY
Alpha Natural Resources,Energy,ALHAP
Alphabet,Communication Services,GOOGL
Altice USA,Communication Services,ATUS
Altria Group,Consumer Defensive,MO
Amazon,Unknown Sector,AMZN
Amazon.com,Consumer Cyclical,AMZN
AMC Networks,Unknown Sector,AMCX
Amedisys,Unknown Sector,AMED
Amerco,Unknown Sector,UHAL
Ameren,Utilities,AEE
American Airlines Group,Industrials,AAL
American Axle & Manufacturing,Consumer Cyclical,AXL
American Eagle Outfitters,Unknown Sector,AEO
American Electric Power,Utilities,AEP
American Equity Investment Life Holding,Unknown Sector,AEL
American Express,Financial Services,AXP
American Family Insurance Group,Financial Services,nan
American Financial Group,Financial Services,AFG
American International Group,Financial Services,AIG
American National Group,Unknown Sector,ANAT
American Tower,Real Estate,AMT
American Water Works,Unknown Sector,AWK
Americold Realty Trust,Unknown Sector,COLD
Amerigroup,Healthcare,AGP
Ameriprise Financial,Financial Services,AMP
AmerisourceBergen,Healthcare,ABC
Ametek,Industrials,AME
Amgen,Healthcare,AMGN
Amica Mutual Insurance,Unknown Sector,nan
Amkor Technology,Unknown Sector,AMKR
AMN Healthcare Services,Unknown Sector,AMN
Amneal Pharmaceuticals,Unknown Sector,AMRX
Amphenol,Technology,APH
AMR,Basic Materials,AMR
AmTrust Financial Services,Financial Services,AAFS
Anadarko Petroleum,Energy,APC
Analog Devices,Technology,ADI
Andeavor,Energy,EDR
Andersons,Consumer Defensive,ANDE
Anixter International,Industrials,AXE
Antero Resources,Unknown Sector,AR
Anthem,Healthcare,ANTM
Aon,Financial Services,AON
APA,Energy,APA
Apache,Energy,APA
APi Group,Unknown Sector,APG
Apollo Global Management,Financial Services,APO
Apollo Group,Financial Services,APO
Apple,Technology,AAPL
Applied Industrial Technologies,Unknown Sector,AIT
Applied Materials,Technology,AMAT
AptarGroup,Unknown Sector,ATR
Aramark,Industrials,ARMK
Aramark Holdings,Industrials,ARMK
ArcBest,Unknown Sector,ARCB
Archer Daniels Midland,Consumer Defensive,ADM
Arconic,Industrials,ARNC
Arcosa,Unknown Sector,ACA
Arista Networks,Unknown Sector,ANET
ARKO,Consumer Cyclical,ARKO
ARRIS Group,Communication Services,ARRS
Arrow Electronics,Technology,ARW
Arthur J. Gallagher,Financial Services,AJG
Asbury Automotive Group,Consumer Cyclical,ABG
Ascena Retail Group,Consumer Cyclical,ASNA
ASGN,Technology,ASGN
Ashland,Basic Materials,ASH
Ashland Global Holdings,Unknown Sector,ASH
Assurant,Financial Services,AIZ
AT&T,Communication Services,T
Atlas Air Worldwide Holdings,Unknown Sector,AAWW
Atmos Energy,Utilities,ATO
Auto-Owners Insurance,Financial Services,nan
Autodesk,Technology,ADSK
Autoliv,Consumer Cyclical,ALV
Automatic Data Processing,Industrials,ADP
AutoNation,Consumer Cyclical,AN
AutoZone,Consumer Cyclical,AZO
AvalonBay Communities,Unknown Sector,AVB
Avantor,Basic Materials,AVTR
Avaya,Technology,AVYA
Avaya Holdings,Unknown Sector,AVYA
Avery Dennison,Consumer Cyclical,AVY
Avient,Unknown Sector,AVNT
Avis Budget Group,Industrials,CAR
Avnet,Technology,AVT
Avon Products,Consumer Defensive,AVP
B&G Foods,Unknown Sector,BGS
Baker Hughes,Energy,BKR
Ball,Basic Materials,BALL
Bank of America,Financial Services,BAC
Bank of America Corp.,Financial Services,BAC
Bank of New York Mellon,Financial Services,BK
Bank of New York Mellon Corp.,Financial Services,BK
Barnes & Noble,Consumer Cyclical,BNED
Bath & Body Works,Consumer Cyclical,BBWI
Baxalta,Healthcare,BXLT
Baxter International,Healthcare,BAX
BB&T Corp.,Financial Services,nan
Beacon Roofing Supply,Industrials,BECN
Beazer Homes USA,Consumer Cyclical,BZH
Becton Dickinson,Healthcare,BDX
Bed Bath & Beyond,Consumer Cyclical,BBBY
Belden,Unknown Sector,BDC
Bemis,Basic Materials,BMS
Benchmark Electronics,Technology,BHE
Berkshire Hathaway,Financial Services,BRKA
Berry Global Group,Consumer Cyclical,BERY
Best Buy,Consumer Cyclical,BBY
BGC Partners,Unknown Sector,BGC
Big Lots,Consumer Defensive,BIG
Bio-Rad Laboratories,Unknown Sector,BIO
Biogen,Healthcare,BIIB
Biogen Idec,Healthcare,BIIB
BioMarin Pharmaceutical,Unknown Sector,BMRN
BJ's Wholesale Club,Consumer Defensive,BJ
BlackRock,Financial Services,BLK
Blackstone,Financial Services,BX
Blackstone Group,Financial Services,BX
Block,Technology,SQ
Bloomin' Brands,Unknown Sector,BLMN
BlueLinx Holdings,Industrials,BXC
Boeing,Industrials,BA
Boise Cascade,Basic Materials,BCC
BOK Financial,Unknown Sector,BOKF
Booking Holdings,Consumer Cyclical,BKNG
Booz Allen Hamilton,Industrials,BAH
Booz Allen Hamilton Holding,Industrials,BAH
BorgWarner,Consumer Cyclical,BWA
Boston Properties,Unknown Sector,BXP
Boston Scientific,Healthcare,BSX
Boyd Gaming,Unknown Sector,BYD
Brighthouse Financial,Financial Services,BHF
BrightPoint,Industrials,CELL
BrightView Holdings,Unknown Sector,BV
Brink's,Industrials,BCO
Brinker International,Consumer Cyclical,EAT
Bristol-Myers Squibb,Healthcare,BMY
Broadcom,Technology,AVGO
Broadridge Financial Solutions,Unknown Sector,BR
Brookdale Senior Living,Unknown Sector,BKD
Brown & Brown,Unknown Sector,BRO
Brown-Forman,Consumer Defensive,BF.B
Bruker,Unknown Sector,BRKR
Brunswick,Consumer Cyclical,BC
Buckeye Partners,Energy,BPL
Builders FirstSource,Industrials,BLDR
Burlington Stores,Consumer Cyclical,BURL
BWX Technologies,Unknown Sector,BWXT
C.H. Robinson Worldwide,Industrials,CHRW
CA,Technology,CA
Cablevision Systems,Communication Services,CVC
Cabot,Basic Materials,CBT
CACI International,Unknown Sector,CACI
Cadence Design Systems,Unknown Sector,CDNS
Caesars Entertainment,Consumer Cyclical,CZR
CalAtlantic Group,Real Estate,CAA
Caleres,Unknown Sector,CAL
Calpine,Utilities,nan
Calumet Specialty Products,Energy,CLMT
Calumet Specialty Products Partners,Energy,CLMT
Cameron International,Energy,CAM
Campbell Soup,Consumer Defensive,CPB
Camping World Holdings,Unknown Sector,CWH
Capital One Financial,Financial Services,COF
Cardinal Health,Healthcare,CAH
Carlisle,Industrials,CSL
Carlyle Group,Unknown Sector,CG
CarMax,Consumer Cyclical,KMX
Carpenter Technology,Industrials,CRS
Carrier Global,Industrials,CARR
Carter's,Unknown Sector,CRI
Carvana,Consumer Cyclical,CVNA
Casey's General Stores,Consumer Cyclical,CASY
Casey’s General Stores,Consumer Cyclical,CASY
Catalent,Unknown Sector,CTLT
Catalyst Health Solutions,Healthcare,CHSI
Caterpillar,Industrials,CAT
CB Richard Ellis Group,Real Estate,CBRE
Cboe Global Markets,Unknown Sector,CBOE
CBRE Group,Real Estate,CBRE
CBS,Communication Services,PARA
CC Media Holdings,Communication Services,NAN
CDK Global,Unknown Sector,CDK
CDW,Technology,CDW
Celanese,Basic Materials,CE
Celgene,Healthcare,BMY
Centene,Healthcare,CNC
CenterPoint Energy,Utilities,CNP
Central Garden & Pet,Unknown Sector,CENTA
Century Communities,Unknown Sector,CCS
CenturyLink,Communication Services,nan
Cerner,Unknown Sector,CERN
CF Industries Holdings,Basic Materials,CF
CH2M Hill,Industrials,nan
ChampionX,Unknown Sector,CHX
Charles River Laboratories International,Unknown Sector,CRL
Charles Schwab,Financial Services,SCHW
Charter Communications,Communication Services,CHTR
Cheesecake Factory,Unknown Sector,CAKE
Chemed,Healthcare,CHE
Chemours,Basic Materials,CC
Cheniere Energy,Energy,LNG
Chesapeake Energy,Energy,CHK
Chevron,Energy,CVX
Chewy,Consumer Cyclical,CHWY
Chipotle Mexican Grill,Consumer Cyclical,CMG
Chrysler Group,Consumer Cyclical,nan
CHS,Basic Materials,nan
Chubb,Financial Services,CB
Church & Dwight,Unknown Sector,CHD
Ciena,Unknown Sector,CIEN
Cigna,Healthcare,CI
Cigna Group,Healthcare,CI
Cincinnati Financial,Financial Services,CINF
Cintas,Industrials,CTAS
Cisco Systems,Technology,CSCO
CIT Group,Financial Services,C
Citigroup,Financial Services,C
Citizens Financial Group,Financial Services,CFG
Citrix Systems,Unknown Sector,CTXS
Clean Harbors,Industrials,CLH
Clear Channel Outdoor Holdings,Communication Services,CCO
Clearwater Paper,Unknown Sector,CLW
Cleveland-Cliffs,Basic Materials,CLF
Cliffs Natural Resources,Basic Materials,CLF
Clorox,Consumer Defensive,CLX
CME Group,Unknown Sector,CME
CMS Energy,Utilities,CMS
CNO Financial Group,Unknown Sector,CNO
Coach,Consumer Cyclical,NAN
Coca-Cola,Consumer Defensive,KO
Coca-Cola Consolidated,Unknown Sector,COKE
Coca-Cola Enterprises,Consumer Defensive,KO
Coca-Cola European Partners,Consumer Defensive,CCEP
Cognizant Technology Solutions,Technology,CTSH
Coinbase Global,Unknown Sector,COIN
Colfax,Unknown Sector,NAN
Colgate-Palmolive,Consumer Defensive,CL
Columbia Sportswear,Consumer Cyclical,COLM
Comcast,Communication Services,CMCSA
Comerica,Financial Services,CMA
Comfort Systems USA,Unknown Sector,FIX
Commercial Metals,Basic Materials,CMC
CommScope Holding,Technology,COMM
Community Health Systems,Healthcare,CYH
Company,Sector,Symbol
Compass,Unknown Sector,nan
Computer Sciences,Technology,NAN
Con-way,Industrials,CNW
Conagra Brands,Consumer Defensive,CAG
ConAgra Foods,Consumer Defensive,CAG
Conduent,Technology,CNDT
ConocoPhillips,Energy,COP
Consol Energy,Energy,CEIX
Consolidated Edison,Utilities,ED
Constellation Brands,Consumer Defensive,STZ
Constellation Energy,Utilities,CEG
ContextLogic,Consumer Cyclical,WISH
Continental Resources,Energy,nan
Cooper,Unknown Sector,COO
Cooper Tire & Rubber,Consumer Cyclical,CTB
Cooper-Standard Holdings,Unknown Sector,CPS
Copart,Unknown Sector,CPRT
Core-Mark Holding,Consumer Defensive,nan
CoreCivic,Unknown Sector,CXW
CoreLogic,Unknown Sector,CLGX
Corn Products International,Consumer Defensive,CPO
Cornerstone Building Brands,Unknown Sector,NAN
Corning,Technology,GLW
Corteva,Basic Materials,CTVA
Costco,Consumer Defensive,COST
Costco Wholesale,Consumer Defensive,COST
Coterra Energy,Energy,CTRA
Coty,Consumer Defensive,COTY
Country Financial,Unknown Sector,nan
Coupang,Consumer Cyclical,CPNG
Covanta Holding,Unknown Sector,CVA
Coventry Health Care,Healthcare,nan
Covetrus,Unknown Sector,CVET
Cracker Barrel Old Country Store,Unknown Sector,CBRL
Crane,Industrials,CXT
Crestwood Equity Partners,Unknown Sector,CEQP
Crown Castle International,Unknown Sector,CCI
Crown Holdings,Consumer Cyclical,CCK
CST Brands,Energy,nan
CSX,Industrials,CSX
Cummins,Industrials,CMI
CUNA Mutual Group,Unknown Sector,nan
Curtiss-Wright,Unknown Sector,CW
CVR Energy,Energy,CVI
CVS Caremark,Healthcare,CVS
CVS Health,Healthcare,CVS
D.R. Horton,Consumer Cyclical,DHI
Dana,Consumer Cyclical,DAN
Dana Holding,Consumer Cyclical,DAN
Danaher,Healthcare,DHR
Darden Restaurants,Consumer Cyclical,DRI
Darling Ingredients,Unknown Sector,DAR
DaVita,Healthcare,DVA
DaVita HealthCare Partners,Healthcare,DVA
DCP Midstream,Energy,DCP
Dean Foods,Consumer Defensive,DFODQ
Deckers Outdoor,Unknown Sector,DECK
Deere,Industrials,DE
Delek US Holdings,Energy,DK
Dell,Technology,DELL
Dell Technologies,Technology,DELL
Delta Air Lines,Industrials,DAL
Dentsply Sirona,Unknown Sector,XRAY
Designer Brands,Unknown Sector,DBI
Devon Energy,Energy,DVN
DexCom,Unknown Sector,DXCM
Diamondback Energy,Energy,FANG
Dick's Sporting Goods,Consumer Cyclical,DKS
Dick’s Sporting Goods,Consumer Cyclical,DKS
Diebold Nixdorf,Technology,DBD
Digital Realty Trust,Unknown Sector,DLR
Dillard's,Consumer Cyclical,DDS
Dillard’s,Consumer Cyclical,DDS
DirecTV,Communication Services,DTV
Discover Financial Services,Financial Services,DFS
Discovery,Financial Services,DISCA
Discovery Communications,Communication Services,DISCK
DISH Network,Communication Services,DISH
Disney,Communication Services,DIS
Dole Food,Consumer Defensive,DOLE
Dollar General,Consumer Defensive,DG
Dollar Tree,Consumer Defensive,DLTR
Dominion Energy,Utilities,D
Dominion Resources,Utilities,D
Domino's Pizza,Unknown Sector,DPZ
Domtar,Basic Materials,UFS
Donaldson,Unknown Sector,DCI
DoorDash,Unknown Sector,DASH
Dover,Industrials,DOV
Dow,Basic Materials,DOW
Dow Chemical,Basic Materials,nan
DowDuPont,Basic Materials,DD
Dr Pepper Snapple Group,Consumer Defensive,nan
Dropbox,Unknown Sector,DBX
DTE Energy,Utilities,DTE
Duke Energy,Utilities,DUK
DuPont,Basic Materials,DD
DuPont de Nemours,Basic Materials,DD
DXC Technology,Technology,DXC
Dycom Industries,Unknown Sector,DY
E.W. Scripps,Communication Services,SSP
Eastman Chemical,Basic Materials,EMN
Eastman Kodak,Industrials,KODK
Eaton,Industrials,ETN
eBay,Consumer Cyclical,EBAY
Ebay,Consumer Cyclical,EBAY
Echo Global Logistics,Unknown Sector,ECHO
EchoStar,Technology,SATS
Ecolab,Basic Materials,ECL
Edgewell Personal Care,Unknown Sector,EPC
Edison International,Utilities,EIX
Edwards Lifesciences,Unknown Sector,EW
El Paso,Energy,EP.PRC
Elanco Animal Health,Unknown Sector,ELAN
Electronic Arts,Communication Services,EA
Elevance Health,Healthcare,ELV
Eli Lilly,Healthcare,LLY
EMC,Industrials,EMC
Emcor Group,Industrials,EME
EMCOR Group,Industrials,EME
Emerson Electric,Industrials,EMR
Enable Midstream Partners,Unknown Sector,ENBL
Enbridge Energy Partners,Energy,ENB 
Encompass Health,Unknown Sector,EHC
Endeavor Group Holdings,Unknown Sector,EDR
Energizer Holdings,Unknown Sector,ENR
Energy Future Holdings,Energy,TXU
Energy Transfer,Energy,ET
Energy Transfer Equity,Energy,ET
EnerSys,Unknown Sector,ENS
EnLink Midstream,Energy,ENLC
Ensign Group,Unknown Sector,ENSG
Entegris,Unknown Sector,ENTG
Entergy,Utilities,ETR
Enterprise Products Partners,Energy,EPD
Envision Healthcare,Healthcare,EVHC
Envision Healthcare Holdings,Healthcare,EVHC
Envista Holdings,Unknown Sector,NVST
EOG Resources,Energy,EOG
EPAM Systems,Unknown Sector,EPAM
EQT,Energy,EQT
Equifax,Unknown Sector,EFX
Equinix,Real Estate,EQIX
Equitable Holdings,Financial Services,EQH
Equity Residential,Unknown Sector,EQR
Erie Insurance Group,Financial Services,nan
Essendant,Industrials,nan
Estee Lauder,Consumer Defensive,EL
Estée Lauder,Consumer Defensive,EL
Est�e Lauder,Consumer Defensive,EL
Euronet Worldwide,Unknown Sector,EEFT
Evercore,Unknown Sector,EVR
Evergy,Unknown Sector,EVRG
Eversource Energy,Utilities,ES
Exelis,Healthcare,nan
Exelon,Utilities,EXC
Expedia,Consumer Cyclical,EXPE
Expedia Group,Consumer Cyclical,EXPE
Expeditors International of Washington,Industrials,EXPD
Expeditors Intl. of Washington,Industrials,EXPD
Express Scripts,Healthcare,nan
Express Scripts Holding,Healthcare,ESRX
Exxon Mobil,Energy,XOM
F5 Networks,Unknown Sector,FFIV
Facebook,Communication Services,FB
Family Dollar Stores,Consumer Defensive,NAN
Fannie Mae,Financial Services,FNMA
Farmers Insurance Exchange,Financial Services,nan
Fastenal,Unknown Sector,FAST
Federated Mutual Insurance,Unknown Sector,FHI
FedEx,Industrials,FDX
Fidelity National Financial,Financial Services,FNF
Fidelity National Information Services,Technology,FIS
Fifth Third Bancorp,Financial Services,FITB
First American Financial,Financial Services,FAF
First Citizens BancShares,Financial Services,FCNCA
First Data,Financial Services,FDC
First Horizon,Unknown Sector,FHN
First Republic Bank,Unknown Sector,FRC
First Solar,Unknown Sector,FSLR
FirstEnergy,Utilities,FE
Fiserv,Technology,FISV
Five Below,Unknown Sector,FIVE
Flagstar Bancorp,Unknown Sector,FBC
Fleetcor Technologies,Unknown Sector,CPAY
Floor & Decor Holdings,Unknown Sector,FND
Flowers Foods,Unknown Sector,FLO
Flowserve,Industrials,FLS
Fluor,Industrials,FLR
FM Global,Unknown Sector,nan
FMC,Basic Materials,FMC
FMC Technologies,Energy,NAN
Foot Locker,Consumer Cyclical,FL
Ford Motor,Consumer Cyclical,F
Fortinet,Unknown Sector,FTNT
Fortive,Technology,FTV
Fortune Brands,Industrials,FBHS
Fortune Brands Home & Security,Unknown Sector,FBHS
Fortune Brands Innovations,Industrials,FBIN
Fox,Communication Services,FOXA
Franchise Group,Unknown Sector,FRG
Franklin Resources,Financial Services,BEN
Freddie Mac,Financial Services,FMCC
Freeport-McMoRan,Basic Materials,FCX
Freeport-McMoRan Copper & Gold,Basic Materials,FCX
Frontier Communications,Communication Services,FYBR
Frontier Oil,Energy,nan
FTI Consulting,Unknown Sector,FCN
G-III Apparel Group,Unknown Sector,GIII
GameStop,Consumer Cyclical,GME
Gannett,Communication Services,GCI
Gap,Consumer Cyclical,GPS
Garrett Motion,Unknown Sector,GTX
Gartner,Technology,IT
Generac Holdings,Unknown Sector,GNRC
General Cable,Industrials,BGC
General Dynamics,Industrials,GD
General Electric,Industrials,GE
General Mills,Consumer Defensive,GIS
General Motors,Consumer Cyclical,GM
Genesis Healthcare,Healthcare,GENN
Genuine Parts,Consumer Cyclical,GPC
Genworth Financial,Financial Services,GNW
Genzyme,Healthcare,GENZ
GEO Group,Unknown Sector,GEO
Gilead Sciences,Healthcare,GILD
Global Partners,Energy,GLP
Global Payments,Industrials,GPN
Globe Life,Unknown Sector,GL
GMS,Unknown Sector,GMS
GoDaddy,Unknown Sector,GDDY
Goldman Sachs Group,Financial Services,GS
Goodrich,Industrials,nan
Goodyear Tire & Rubber,Consumer Cyclical,GT
Google,Communication Services,GOOG
Graham Holdings,Unknown Sector,GHC
Granite Construction,Unknown Sector,GVA
Graphic Packaging Holding,Consumer Cyclical,GPK
Gray Television,Unknown Sector,GTN
Graybar Electric,Basic Materials,nan
Great Atlantic & Pacific Tea,Consumer Defensive,nan
Green Plains,Unknown Sector,GPRE
Greenbrier,Unknown Sector,GBX
Greif,Unknown Sector,GEF
Griffon,Unknown Sector,GFF
Grocery Outlet Holding,Unknown Sector,GO
Group 1 Automotive,Consumer Cyclical,GPI
Guardian Life Ins. Co. of America,Financial Services,nan
Guess,Unknown Sector,GES
GXO Logistics,Industrials,GXO
H.B. Fuller,Basic Materials,FUL
H.J. Heinz,Consumer Defensive,KHC
H&R Block,Consumer Cyclical,HRB
Hain Celestial Group,Consumer Defensive,HAIN
Halliburton,Energy,HAL
Hanesbrands,Consumer Cyclical,HBI
Hanover Insurance Group,Unknown Sector,THG
Harbinger Group,Financial Services,NAN
Harley-Davidson,Consumer Cyclical,HOG
Harman International Industries,Consumer Cyclical,NAN
Harris,Energy,LHX
Harsco,Industrials,HA7.SG
Hartford Financial Services,Financial Services,HIG
Hartford Financial Services Group,Financial Services,HIG
Hasbro,Consumer Cyclical,HAS
Hawaiian Electric Industries,Unknown Sector,HE
HCA Healthcare,Healthcare,HCA
HCA Holdings,Healthcare,HCA
HD Supply,Industrials,HDS
HD Supply Holdings,Industrials,HDS
Health Management Associates,Healthcare,HMA
Health Net,Healthcare,HNT
Healthpeak Properties,Unknown Sector,PEAK
Henry Schein,Healthcare,HSIC
Herman Miller,Consumer Cyclical,MLKN
Hershey,Consumer Defensive,HSY
Hertz Global Holdings,Industrials,HTZ
Hess,Energy,HES
Hewlett Packard Enterprise,Technology,HPE
Hewlett-Packard,Technology,HPE
Hexion,Unknown Sector,HXOH
HF Sinclair,Energy,DINO
Hill-Rom Holdings,Unknown Sector,HRC
Hillenbrand,Unknown Sector,HI
Hillshire Brands,Consumer Defensive,HSH
Hilltop Holdings,Unknown Sector,HTH
Hilton Worldwide Holdings,Consumer Cyclical,HLT
HNI,Industrials,HNI
Holly,Consumer Cyclical,HFC
HollyFrontier,Energy,HFC
Hologic,Unknown Sector,HOLX
Home Depot,Consumer Cyclical,HD
Honeywell International,Industrials,HON
Hormel Foods,Consumer Defensive,HRL
Host Hotels & Resorts,Real Estate,HST
Hovnanian Enterprises,Consumer Cyclical,HOVNP
Howmet Aerospace,Unknown Sector,HWM
HP,Technology,HPQ
HRG Group,Financial Services,HRG
Hub Group,Unknown Sector,HUBG
Hubbell,Industrials,HUBB
Humana,Healthcare,HUM
Huntington Bancshares,Financial Services,HBAN
Huntington Ingalls Industries,Industrials,HII
Huntsman,Basic Materials,HUN
Hyatt Hotels,Unknown Sector,H
Hyster-Yale Materials Handling,Unknown Sector,HY
IAC/InterActiveCorp,Communication Services,IAC
IBM,Technology,IBM
Icahn Enterprises,Energy,IEP
IDEX,Unknown Sector,IEX
IDEXX Laboratories,Healthcare,IDXX
iHeartMedia,Communication Services,IHRT
II-VI,Unknown Sector,nan
Illinois Tool Works,Industrials,ITW
Illumina,Unknown Sector,ILMN
Incyte,Healthcare,INCY
Ingersoll Rand,Unknown Sector,IR
Ingles Markets,Unknown Sector,IMKTA
Ingram Micro,Technology,NAN
Ingredion,Consumer Defensive,INGR
Insight Enterprises,Technology,NSIT
Insperity,Unknown Sector,NSP
Integrys Energy Group,Energy,nan
Intel,Technology,INTC
Interactive Brokers Group,Unknown Sector,IBKR
Intercontinental Exchange,Financial Services,ICE
International Business Machines,Technology,IBM
International Flavors & Fragrances,Basic Materials,IFF
International Paper,Consumer Cyclical,IP
Interpublic Group,Communication Services,IPG
INTL FCStone,Financial Services,SNEX
Intuit,Technology,INTU
Intuitive Surgical,Unknown Sector,ISRG
IQVIA Holdings,Healthcare,IQV
Iron Mountain,Unknown Sector,IRM
Itron,Unknown Sector,ITRI
ITT,Industrials,ITT
J.B. Hunt Transport Services,Industrials,JBHT
J.C. Penney,Consumer Cyclical,NAN
J.M. Smucker,Consumer Defensive,SJM
J.P. Morgan Chase,Financial Services,JPM
J.P. Morgan Chase & Co.,Financial Services,JPM
Jabil,Technology,JBL
Jabil Circuit,Technology,JBL
Jackson Financial,Financial Services,JXN
Jacobs Engineering Group,Industrials,J
Jacobs Solutions,Industrials,J
Jarden,Consumer Cyclical,JAH
Jefferies Financial Group,Financial services,JEF
JELD-WEN Holding,Unknown Sector,JELD
JetBlue Airways,Industrials,JBLU
Joann,Unknown Sector,JOANQ
Johnson & Johnson,Healthcare,JNJ
Johnson Controls,Industrials,JCI
Jones Financial,Financial Services,nan
Jones Financial (Edward Jones),Financial Services,nan
Jones Lang LaSalle,Real Estate,JLL
Joy Global,Industrials,JOY
JP Morgan Chase,Financial Services,JPM
JPMorgan Chase,Financial Services,JPM
Juniper Networks,Unknown Sector,JNPR
Kansas City Southern,Unknown Sector,KSU
Kar Auction Services,Unknown Sector,KAR
KB Home,Consumer Cyclical,KBH
KBR,Industrials,KBR
Kellogg,Consumer Defensive,K
Kelly Services,Industrials,KELYA
Kemper,Financial Services,KMPR
Kennametal,Industrials,KMT
Keurig Dr Pepper,Consumer Defensive,KDP
KeyCorp,Financial Services,KEY
Keysight Technologies,Unknown Sector,KEYS
Kimberly-Clark,Consumer Defensive,KMB
Kinder Morgan,Energy,KMI
Kindred Healthcare,Healthcare,KND
Kirby,Unknown Sector,KEX
KKR,Financial Services,KKR
KLA,Technology,KLAC
Knight-Swift Transportation Holdings,Industrials,KNX
Knights of Columbus,Unknown Sector,KCXIX
Kohl's,Consumer Cyclical,KSS
Kohl’s,Consumer Cyclical,KSS
Korn Ferry,Unknown Sector,KFY
Kraft Foods,Consumer Defensive,KHC
Kraft Foods Group,Consumer Defensive,KHC
Kraft Heinz,Consumer Defensive,KHC
Kroger,Consumer Defensive,KR
Kyndryl Holdings,Technology,KD
L Brands,Consumer Cyclical,LB
L-3 Communications,Industrials,LHX
L3 Technologies,Industrials,LHX
L3Harris Technologies,Industrials,LHX
Laboratory Corp. of America,Healthcare,LH
Lam Research,Technology,LRCX
Lamb Weston Holdings,Unknown Sector,LW
Land O'Lakes,Consumer Defensive,nan
Land O’Lakes,Consumer Defensive,nan
Landstar System,Industrials,LSTR
Lansing Trade Group,Basic Materials,nan
Las Vegas Sands,Consumer Cyclical,LVS
Laureate Education,Unknown Sector,LAUR
LCI Industries,Unknown Sector,LCII
Lear,Consumer Cyclical,LEA
Leggett & Platt,Consumer Cyclical,LEG
Leidos Holdings,Technology,LDOS
Lennar,Consumer Cyclical,LEN
Lennox International,Industrials,LII
Leucadia National,Financial Services,LUK
Level 3 Communications,Communication Services,LVLT
Levi Strauss,Consumer Cyclical,LEVI
LGI Homes,Unknown Sector,LGIH
LHC Group,Unknown Sector,LHCG
Liberty Global,Communication Services,LBTYK
Liberty Interactive,Communication Services,nan
Liberty Media,Communication Services,LSXMA
Liberty Mutual Insurance Group,Financial Services,nan
LifePoint Health,Healthcare,LPNT
Limited Brands,Consumer Cyclical,nan
Lincoln Electric Holdings,Industrials,LECO
Lincoln National,Financial Services,LNC
Lithia Motors,Consumer Cyclical,LAD
Live Nation Entertainment,Communication Services,LYV
LKQ,Consumer Cyclical,LKQ
loanDepot,Unknown Sector,LDI
Lockheed Martin,Industrials,LMT
Loews,Financial Services,L
Lorillard,Consumer Defensive,LO
