rank,company,revenue ($ millions),profit ($ millions),Sector
1,Wal-Mart Stores,476294.0,16022.0,Consumer Defensive
2,Exxon Mobil,407666.0,32580.0,Energy
3,Chevron,220356.0,21423.0,Energy
4,Berkshire Hathaway,182150.0,19476.0,Financial Services
5,Apple,170910.0,37037.0,Technology
6,Phillips 66,161175.0,3726.0,Energy
7,General Motors,155427.0,5346.0,Consumer Cyclical
8,Ford Motor,146917.0,7155.0,Consumer Cyclical
9,General Electric,146231.0,13057.0,Industrials
10,Valero Energy,137758.0,2720.0,Energy
11,AT&T,128752.0,18249.0,Communication Services
12,CVS Caremark,126761.0,4592.0,Healthcare
13,Fannie Mae,125696.0,83963.0,Financial Services
14,UnitedHealth Group,122489.0,5625.0,Healthcare
15,McKesson,122455.0,1338.0,Healthcare
16,Verizon Communications,120550.0,11497.0,Communication Services
17,Hewlett-Packard,112298.0,5113.0,Technology
18,J.P. Morgan Chase & Co.,106283.0,17923.0,Financial Services
19,Costco Wholesale,105156.0,2039.0,Consumer Defensive
20,Express Scripts Holding,104620.0,1845.0,Healthcare
21,Bank of America Corp.,101697.0,11431.0,Financial Services
22,Cardinal Health,101093.0,334.0,Healthcare
23,International Business Machines,99751.0,16483.0,Technology
24,Kroger,98375.0,1519.0,Consumer Defensive
25,Marathon Petroleum,93991.0,2112.0,Energy
26,Citigroup,93629.0,13673.0,Financial Services
27,Archer Daniels Midland,89804.0,1342.0,Consumer Defensive
28,AmerisourceBergen,89140.0,434.0,Healthcare
29,Wells Fargo,88069.0,21878.0,Financial Services
30,Boeing,86623.0,4585.0,Industrials
31,Procter & Gamble,84167.0,11312.0,Consumer Defensive
32,Freddie Mac,81221.0,48668.0,Financial Services
33,Home Depot,78812.0,5385.0,Consumer Cyclical
34,Microsoft,77849.0,21863.0,Technology
35,Amazon.com,74452.0,274.0,Consumer Cyclical
36,Target,72596.0,1971.0,Consumer Defensive
37,Walgreen,72217.0,2450.0,Healthcare
38,WellPoint,71458.0,2490.0,Healthcare
39,Johnson & Johnson,71312.0,13831.0,Healthcare
40,American International Group,68678.0,9085.0,Financial Services
41,State Farm Insurance Cos.,68291.0,5189.0,Financial Services
42,MetLife,68202.0,3368.0,Financial Services
43,PepsiCo,66415.0,6740.0,Consumer Defensive
44,Comcast,64657.0,6816.0,Communication Services
45,United Technologies,62935.0,5721.0,Industrials
46,Google,60629.0,12920.0,Communication Services
47,ConocoPhillips,59433.0,9156.0,Energy
48,Dow Chemical,57080.0,4787.0,Basic Materials
49,Caterpillar,55656.0,3789.0,Industrials
50,United Parcel Service,55438.0,4372.0,Industrials
51,Pfizer,53785.0,22003.0,Healthcare
52,Lowe's,53417.0,2286.0,Consumer Cyclical
53,Intel,52708.0,9620.0,Technology
54,Energy Transfer Equity,48750.0,196.0,Energy
55,Cisco Systems,48607.0,9983.0,Technology
56,Enterprise Products Partners,47727.0,2597.0,Energy
57,Aetna,47295.0,1914.0,Healthcare
58,Coca-Cola,46854.0,8584.0,Consumer Defensive
59,Lockheed Martin,45358.0,2981.0,Industrials
60,Best Buy,45225.0,532.0,Consumer Cyclical
61,Walt Disney,45041.0,6136.0,Communication Services
62,CHS,44480.0,992.0,Basic Materials
63,Sysco,44411.0,992.0,Consumer Defensive
64,FedEx,44287.0,1561.0,Industrials
65,Merck,44033.0,4404.0,Healthcare
66,INTL FCStone,43768.0,19.0,Financial Services
67,Safeway,42982.0,3508.0,Consumer Defensive
68,Johnson Controls,42730.0,1178.0,Industrials
69,Ingram Micro,42554.0,311.0,Technology
70,Plains GP Holdings,42249.0,15.0,Energy
71,World Fuel Services,41562.0,203.0,Energy
72,Prudential Financial,41471.0,-667.0,Financial Services
73,Humana,41313.0,1231.0,Healthcare
74,Goldman Sachs Group,40874.0,8040.0,Financial Services
75,Tesoro,39193.0,412.0,Basic Materials
76,Liberty Mutual Insurance Group,39133.0,1743.0,Financial Services
77,Honeywell International,39055.0,3924.0,Industrials
78,United Continental Holdings,38279.0,571.0,Industrials
79,HCA Holdings,38040.0,1556.0,Healthcare
80,Deere,37795.0,3537.0,Industrials
81,Delta Air Lines,37773.0,10540.0,Industrials
82,Oracle,37180.0,10925.0,Technology
83,Morgan Stanley,36848.0,2932.0,Financial Services
84,Hess,36694.0,5052.0,Energy
85,Twenty-First Century Fox,36566.0,7097.0,Communication Services
86,DuPont,36475.0,4848.0,Basic Materials
87,Sears Holdings,36188.0,-1365.0,Consumer Cyclical
88,New York Life Insurance,36026.0,1326.0,Financial Services
89,Mondelēz International,35299.0,3915.0,Consumer Defensive
90,American Express,34932.0,5359.0,Financial Services
91,Nationwide,34542.0,797.0,Financial Services
92,Allstate,34507.0,2280.0,Financial Services
93,Tyson Foods,34482.0,778.0,Consumer Defensive
94,Supervalu,34327.0,-1466.0,Consumer Defensive
95,TIAA-CREF,33817.0,1722.0,Financial Services
96,Massachusetts Mutual Life Insurance,33350.0,193.0,Financial Services
97,Cigna,32380.0,1476.0,Healthcare
98,DirecTV,31754.0,2859.0,Communication Services
99,General Dynamics,31218.0,2357.0,Industrials
100,Philip Morris International,31217.0,8576.0,Consumer Defensive
101,3M,30871.0,4659.0,Industrials
102,Time Warner,29795.0,3691.0,Communication Services
103,Halliburton,29402.0,2125.0,Energy
104,Publix Super Markets,29148.0,1654.0,Consumer Defensive
105,International Paper,29080.0,1395.0,Consumer Cyclical
106,McDonald's,28106.0,5586.0,Consumer Cyclical
107,Macy's,27931.0,1486.0,Consumer Cyclical
108,TJX,27423.0,2137.0,Consumer Cyclical
109,Fluor,27352.0,668.0,Industrials
110,Northwestern Mutual,26978.0,802.0,Financial Services
111,Tech Data,26822.0,180.0,Technology
112,American Airlines Group,26743.0,-1834.0,Industrials
113,Hartford Financial Services Group,26341.0,176.0,Financial Services
114,Travelers Cos.,26191.0,3673.0,Financial Services
115,Nike,25836.0,2485.0,Consumer Cyclical
116,Occidental Petroleum,25736.0,5903.0,Energy
117,Avnet,25459.0,450.0,Technology
118,Rite Aid,25392.0,118.0,Healthcare
119,Exelon,24888.0,1719.0,Utilities
120,Qualcomm,24866.0,6853.0,Technology
121,Emerson Electric,24669.0,2004.0,Industrials
122,Northrop Grumman,24661.0,1952.0,Industrials
123,Duke Energy,24598.0,2665.0,Utilities
124,Capital One Financial,24176.0,4159.0,Financial Services
125,Aflac,23939.0,3158.0,Financial Services
126,Raytheon,23706.0,1996.0,Industrials
127,Staples,23314.0,620.0,Consumer Defensive
128,EMC,23222.0,2889.0,Industrials
129,Eli Lilly,23113.0,4685.0,Healthcare
130,Alcoa,23032.0,-2285.0,Basic Materials
131,National Oilwell Varco,22869.0,2327.0,Energy
132,Baker Hughes,22364.0,1096.0,Energy
133,US Foods,22297.0,-57.0,Consumer Defensive
134,Time Warner Cable,22120.0,1954.0,Communication Services
135,Union Pacific,21963.0,4388.0,Industrials
136,Abbott Laboratories,21848.0,2576.0,Healthcare
137,Xerox,21838.0,1159.0,Technology
138,Arrow Electronics,21357.0,399.0,Technology
139,Kimberly-Clark,21152.0,2142.0,Consumer Defensive
140,U.S. Bancorp,21059.0,5836.0,Financial Services
141,United Services Automobile Assn.,20971.0,2726.0,Financial Services
142,Freeport-McMoRan Copper & Gold,20921.0,2658.0,Basic Materials
143,Icahn Enterprises,20682.0,1025.0,Energy
144,ManpowerGroup,20251.0,288.0,Industrials
145,HollyFrontier,20161.0,736.0,Energy
146,Global Partners,19590.0,43.0,Energy
147,Goodyear Tire & Rubber,19540.0,629.0,Consumer Cyclical
148,PBF Energy,19152.0,40.0,Energy
149,Danaher,19118.0,2695.0,Healthcare
150,Nucor,19052.0,488.0,Basic Materials
151,Kohl's,19031.0,889.0,Consumer Cyclical
152,AbbVie,18790.0,4128.0,Healthcare
153,Whirlpool,18769.0,827.0,Consumer Cyclical
154,Amgen,18676.0,5081.0,Healthcare
155,Jabil Circuit,18337.0,372.0,Technology
156,Kraft Foods Group,18218.0,2715.0,Consumer Defensive
157,Progressive,18171.0,1165.0,Financial Services
158,CenturyLink,18095.0,-239.0,Communication Services
159,General Mills,17774.0,1855.0,Consumer Defensive
160,Southwest Airlines,17699.0,754.0,Industrials
161,Altria Group,17663.0,4535.0,Consumer Defensive
162,AutoNation,17518.0,375.0,Consumer Cyclical
163,Chesapeake Energy,17506.0,724.0,Energy
164,Dollar General,17504.0,1025.0,Consumer Defensive
165,TRW Automotive Holdings,17435.0,970.0,Consumer Cyclical
166,United States Steel,17424.0,-1672.0,Basic Materials
167,Colgate-Palmolive,17420.0,2241.0,Consumer Defensive
168,Cummins,17301.0,1483.0,Industrials
169,Paccar,17124.0,1171.0,Industrials
170,Southern,17087.0,1644.0,Utilities
171,Illinois Tool Works,16904.0,1679.0,Industrials
172,PNC Financial Services Group,16872.0,4220.0,Financial Services
173,Medtronic,16590.0,3467.0,Healthcare
174,AES,16580.0,114.0,Utilities
175,Murphy USA,16566.0,235.0,Consumer Cyclical
176,Bristol-Myers Squibb,16385.0,2563.0,Healthcare
177,Lear,16234.0,431.0,Consumer Cyclical
178,Gap,16148.0,1280.0,Consumer Cyclical
179,Apache,16054.0,2232.0,Energy
180,eBay,16047.0,2856.0,Consumer Cyclical
181,Bank of New York Mellon Corp.,15691.0,2111.0,Financial Services
182,CBS,15685.0,1879.0,Communication Services
183,PG&E Corp.,15598.0,814.0,Utilities
184,ConAgra Foods,15491.0,774.0,Consumer Defensive
185,Computer Sciences,15388.0,961.0,Technology
186,American Electric Power,15357.0,1480.0,Utilities
187,Western Digital,15351.0,980.0,Technology
188,Marathon Oil,15320.0,1753.0,Energy
189,Baxter International,15259.0,2012.0,Healthcare
190,PPG Industries,15216.0,3231.0,Basic Materials
191,NextEra Energy,15136.0,1908.0,Utilities
192,Community Health Systems,15078.0,141.0,Healthcare
193,Loews,15053.0,595.0,Financial Services
194,Penske Automotive Group,14969.0,244.0,Consumer Cyclical
195,FirstEnergy,14950.0,392.0,Utilities
196,Starbucks,14892.0,8.0,Consumer Cyclical
197,Monsanto,14861.0,2482.0,Basic Materials
