Rank,Name,Ticker,Sector,Industry,Revenue,Profit
1,Walmart,WMT,Consumer Defensive,Discount Stores,500343,9862
2,Exxon Mobil,XOM,Energy,Oil & Gas Integrated,244363,19710
3,Berkshire Hathaway,BRKA,Financial Services,,242137,44940
4,Apple,AAPL,Technology,Consumer Electronics,229234,48351
5,UnitedHealth Group,UNH,Healthcare,Healthcare Plans,201159,10558
6,McKesson,MCK,Healthcare,Medical Distribution,198533,5070
7,CVS Health,CVS,Healthcare,Healthcare Plans,184765,6622
8,Amazon.com,AMZN,Consumer Cyclical,Internet Retail,177866,3033
9,AT&T,T,Communication Services,Telecom Services,160546,29450
10,General Motors,GM,Consumer Cyclical,Auto Manufacturers,157311,-3864
11,Ford Motor,F,Consumer Cyclical,Auto Manufacturers,156776,7602
12,AmerisourceBergen,ABC,Healthcare,,153143.8,364.5
13,Chevron,CVX,Energy,Oil & Gas Integrated,134533,9195
14,Cardinal Health,CAH,Healthcare,Medical Distribution,129976,1288
15,Costco,COST,Consumer Defensive,Discount Stores,129025,2679
16,Verizon,VZ,Communication Services,Telecom Services,126034,30101
17,Kroger,KR,Consumer Defensive,Grocery Stores,122662,1907
18,General Electric,GE,Industrials,Specialty Industrial Machinery,122274,-5786
19,Walgreens Boots Alliance,WBA,Healthcare,Pharmaceutical Retailers,118214,4078
20,JPMorgan Chase,JPM,Financial Services,Banks - Diversified,113899,24441
21,Fannie Mae,FNMA,Financial Services,Mortgage Finance,112394,2463
22,Alphabet,GOOGL,Communication Services,Internet Content & Information,110855,12662
23,Home Depot,HD,Consumer Cyclical,Home Improvement Retail,100904,8630
24,Bank of America Corp.,BAC,Financial Services,Banks - Diversified,100264,18232
25,Express Scripts Holding,ESRX,Healthcare,,100064.6,4517.4
26,Wells Fargo,WFC,Financial Services,Banks - Diversified,97741,22183
27,Boeing,BA,Industrials,Aerospace & Defense,93392,8197
28,Phillips 66,PSX,Energy,Oil & Gas Refining & Marketing,91568,5106
29,Anthem,ANTM,Healthcare,,90039.4,3842.8
30,Microsoft,MSFT,Technology,Software - Infrastructure,89950,21204
