Rank,Name,Ticker,Sector,Industry,Revenue,Profit,m1-o,m1-c,m2-o,m2-c,m3-o,m3-c,m4-o,m4-c,m5-o,m5-c,m6-o,m6-c,m7-o,m7-c,m8-o,m8-c,m9-o,m9-c,m10-o,m10-c,m11-o,m11-c,m12-o,m12-c,ur-1,ur-2,ur-3,ur-4,ur-5,ur-6,ur-7,ur-8,ur-9,ur-10,ur-11,ur-12,gdp-1,gdp-2,gdp-3,gdp-4,gdp-5,gdp-6,gdp-7,gdp-8,gdp-9,gdp-10,gdp-11,gdp-12
1,Walmart,WMT,Consumer Defensive,Discount Stores,"$572,754 ","$13,673 ",48,46.6033,46.4033,45.0533,45.29,49.64,49.8867,50.9967,51.6533,42.8767,42.8333,40.5267,40.6467,44.0167,43.6867,44.1833,44.18,43.2333,43.4133,47.4433,47.6567,50.8067,50.6833,47.2633,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
2,Amazon.com,AMZN,Consumer Cyclical,Internet Retail,"$469,822 ","$33,364 ",167.55,149.5735,150,153.563,152.7325,162.9975,164.1495,124.2815,122.401,120.2095,122.256,106.21,106.29,134.95,134.96,126.77,126,113,113.58,102.44,103.99,96.54,96.99,84,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
3,Apple,AAPL,Technology,Consumer Electronics,"$365,817 ","$94,680 ",177.83,174.78,174.01,165.12,164.695,174.61,174.03,157.65,156.71,148.84,149.9,136.72,136.04,162.51,161.01,157.22,156.64,138.2,138.21,153.34,155.08,148.03,148.21,129.93,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
4,CVS Health,CVS,Healthcare,Healthcare Plans,"$292,111 ","$7,910 ",102.81,106.51,106.27,103.65,103.21,101.21,101.21,96.13,96.45,96.75,97.38,92.66,92.81,95.68,95,98.15,98,95.37,95.98,94.7,94.61,101.88,102.19,93.19,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
5,UnitedHealth Group,UNH,Healthcare,Healthcare Plans,"$287,597 ","$17,285 ",500,472.57,475,475.87,470.89,509.97,510.68,508.55,510.81,496.78,498.32,513.63,512.32,542.34,542.27,519.33,519.33,505.04,507.08,555.15,555,547.76,552.36,530.18,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
6,Exxon Mobil,XOM,Energy,Oil & Gas Integrated,"$285,640 ","$23,040 ",61.24,75.96,76.45,78.42,78.77,82.59,81.99,85.25,85.01,96,97.02,85.64,86.74,96.93,94.79,95.59,94.42,87.31,90.04,110.81,112.37,111.34,111.64,110.3,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
7,Berkshire Hathaway,BRKA,,,"$276,094 ","$89,795 ",,,,,,,,,,,,,,,,,,,,,,,,,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
8,Alphabet,GOOGL,Communication Services,Internet Content & Information,"$257,637 ","$76,033 ",145.055,135.3035,137.5945,135.057,134.8785,139.0675,139.5,114.1095,113.405,113.762,114.855,108.963,107.933,116.32,115.3,108.22,108.28,95.65,96.76,94.51,95.45,100.99,101.02,88.23,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
9,McKesson,MCK,Healthcare,Medical Distribution,"$238,228 ","($4,539)",247.54,256.72,257.01,274.96,274.74,306.13,306.36,309.61,311.75,328.69,331.13,326.21,325.7,341.58,340.05,367,366.93,339.87,342.1,389.37,388,381.68,382.5,375.12,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
10,AmerisourceBergen,ABC,,,"$213,989 ","$1,540 ",,,,,,,,,,,,,,,,,,,,,,,,,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
11,Costco Wholesale,COST,Consumer Defensive,Discount Stores,"$195,929 ","$5,007 ",565.0301,505.13,505,519.25,519.46,575.85,577.38,531.72,532.23,466.22,469.38,479.28,481.18,541.3,541.42,522.1,519.72,472.27,474.5,501.5,503.7,539.25,519.14,456.5,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
12,Cigna,CI,Healthcare,Healthcare Plans,"$174,078 ","$5,365 ",229.49,230.46,229.46,237.78,237.09,239.61,242.2,246.78,247.21,268.29,271.29,263.52,263.76,275.36,273.98,283.45,284.84,277.47,280.75,323.06,323.2,328.89,328.6,331.34,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
13,AT&T,T,Communication Services,Telecom Services,"$168,864 ","$20,081 ",32.8021,33.762,32.0276,31.3656,31.2596,31.2861,31.4053,18.86,19,21.29,21.44,20.96,20.97,18.78,18.85,17.54,17.49,15.34,15.73,18.23,18.57,19.28,19.29,18.41,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
14,Microsoft,MSFT,Technology,Software - Infrastructure,"$168,088 ","$61,271 ",335.35,310.98,310.41,298.79,296.4,308.31,309.37,277.52,277.71,271.87,275.195,256.83,256.39,280.74,277.82,261.47,258.87,232.9,235.41,232.13,234.6,255.14,253.87,239.82,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
15,Cardinal Health,CAH,Healthcare,Medical Distribution,"$162,467 ",$611 ,51.52,51.57,51.41,54.01,54,56.7,56.74,58.05,58.78,56.32,56.71,52.27,52.48,59.56,59.49,70.72,70.42,66.68,66.79,75.9,75.99,80.17,80.3,76.87,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
16,Chevron,CVX,Energy,Oil & Gas Integrated,"$162,465 ","$15,625 ",117.42,131.33,130.83,144,145.01,162.83,162.78,156.67,156.31,174.66,176.73,144.78,146.6,163.78,161.18,158.06,156.48,143.67,148.97,180.9,183.87,183.31,184.26,179.49,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
17,Home Depot,HD,Consumer Cyclical,Home Improvement Retail,"$151,157 ","$16,433 ",416.57,366.98,369.47,315.83,314.59,299.33,300.5,300.4,301.99,302.75,301.74,274.27,275.73,300.94,300.64,288.42,288.4,275.94,281,296.13,300.37,323.99,326.31,315.86,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
18,Walgreens Boots Alliance,WBA,Healthcare,Pharmaceutical Retailers,"$148,579 ","$2,542 ",52.26,49.76,49.325,46.09,45.91,44.77,44.54,42.4,42.63,43.83,43.9,37.9,37.63,39.62,39.62,35.06,34.96,31.4,31.81,36.5,36.66,41.5,41.51,37.36,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
19,Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing,"$141,032 ","$9,738 ",64.44,71.75,71.07,77.87,78.55,85.5,85.28,87.26,87.44,101.79,102.86,82.21,83,91.66,90.02,100.75,98.93,99.33,102.41,113.62,113.84,121.81,122.7,116.39,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
20,Anthem,ANTM,,,"$138,639 ","$6,104 ",,,,,,,,,,,,,,,,,,,,,,,,,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
21,Kroger,KR,Consumer Defensive,Grocery Stores,"$137,888 ","$1,655 ",44.91,43.59,43.5,46.8,48.12,57.37,57.5,53.96,54.65,52.97,53.35,47.33,47.61,46.44,46.26,47.94,47.92,43.75,43.83,47.29,47.63,49.19,50.35,44.58,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
22,Ford Motor,F,Consumer Cyclical,Auto Manufacturers,"$136,341 ","$17,937 ",21.27,20.3,20.61,17.56,17.41,16.91,17.01,14.16,14.02,13.68,13.88,11.13,11.1,14.69,14.66,15.24,15.1,11.2,11.38,13.37,13.57,13.9,14.09,11.63,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
23,Verizon Communications,VZ,Communication Services,Telecom Services,"$133,613 ","$22,065 ",52.07,53.23,53.4,53.67,53.5,50.94,51.02,46.3,46.51,51.29,51.44,50.75,50.96,46.19,46.29,41.81,41.64,37.97,38.5,37.37,37.98,38.98,39.18,39.4,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
24,JPMorgan Chase,JPM,Financial Services,Banks - Diversified,"$127,202 ","$48,334 ",159.86,148.6,148.69,141.8,140.04,136.32,137.4,119.36,119.88,132.23,132.87,112.61,112.65,115.36,114.5,113.73,113.29,104.5,105.62,125.88,126.87,138.18,138.18,134.1,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
25,General Motors,GM,Consumer Cyclical,Auto Manufacturers,"$127,004 ","$10,019 ",59.87,52.73,52.85,46.72,46.02,43.74,44.16,37.91,37.67,38.68,39.01,31.76,31.28,36.26,36.06,38.21,37.81,32.09,32.46,39.25,39.92,40.56,40.77,33.64,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
26,Centene,CNC,Healthcare,Healthcare Plans,"$125,982 ","$1,347 ",83.14,77.76,78.03,82.62,82.25,84.19,84.96,80.55,80.99,81.44,81.9,84.61,84.73,92.97,93.15,89.74,89.45,77.81,78.44,85.13,85.21,87.05,87.41,82.01,4,3.8,3.6,3.7,3.6,3.6,3.5,3.6,3.5,3.6,3.6,3.5,21762.29,21745.845,21712.486,21676.579,21721.572,21730.444,21707.668,21980.003,21869.882,21905.776,22011.625,22056.654
