Rank,Company Name,Number of Employees,"Change in 
Rank",Industry,Company Description,"Revenues
($millions)","Revenue 
Change","Profits
($millions)","Profit 
Change","Assets
($millions)","Market Value 
As of 3/31/21 ($m)"
1,Walmart,"2,300,000",-,Retail Company,"Walmart Inc. Is An American Multinational Retail Corporation That Operates A Chain Of Hypermarkets, Discount Department Stores, And Grocery Stores, Headquartered In Bentonville, Arkansas.","$559,151",6.70%,"$13,510.00",-9.20%,"$252,496","$382,643"
2,Amazon,"1,298,000",-,E-commerce Company,"Amazon.com, Inc. Is An American Multinational Technology Company Based In Seattle, Washington, Which Focuses On E-commerce, Cloud Computing, Digital Streaming, And Artificial Intelligence. ","$386,064",37.60%,"$21,331.00",84.10%,"$321,195","$1,558,070"
3,Apple,"147,000",1,Technology Company,"Apple Inc. Is An American Multinational Technology Company Headquartered In Cupertino, California, That Designs, Develops And Sells Consumer Electronics, Computer Software, And Online Services.","$274,515",5.50%,"$57,411.00",3.90%,"$323,888","$2,050,666"
4,CVS Health,"256,500",1,Healthcare Company,"Cvs Health Is An American Healthcare Company That Owns Cvs Pharmacy, A Retail Pharmacy Chain; Cvs Caremark, A Pharmacy Benefits Manager; Aetna, A Health Insurance Provider, Among Many Other Brands. The Company's Headquarter Is In Woonsocket, Rhode Island.","$268,706",4.60%,"$7,179.00",8.20%,"$230,715","$98,653"
5,UnitedHealth Group,"330,000",2,Managed Care Company,"Unitedhealth Group Incorporated Is An American For-profit Managed Health Care Company Based In Minnetonka, Minnesota. It Offers Health Care Products And Insurance Services. In 2019, It Was The Second-largest Healthcare Company By Revenue With $242.2 Billion, And The Largest Insurance Company By Net Premiums.","$257,141",6.20%,"$15,403.00",11.30%,"$197,289","$351,725"
6,Berkshire Hathaway,"360,000",-,Multinational Conglomerate Company,"Berkshire Hathaway Is An American Multinational Conglomerate Holding Company Headquartered In Omaha, Nebraska, United States.","$245,510",-3.60%,"$42,521.00",-47.80%,"$873,729","$587,823"
7,McKesson,"70,000",1,Health Care Company,"Mckesson Corporation Is An American Company Distributing Pharmaceuticals And Providing Health Information Technology, Medical Supplies, And Care Management Tools. The Company Had Revenues Of $231.1 Billion In 2020. ","$231,051",7.80%,$900.00,2547.10%,"$61,247","$31,044"
8,AmerisourceBergen,"21,500",2,Wholesale Company,Amerisourcebergen Corporation Is An American Drug Wholesale Company That Was Formed By The Merger Of Bergen Brunswig And Amerisource In 2001. They Provide Drug Distribution And Related Services Designed To Reduce Costs And Improve Patient Outcomes.,"$189,894",5.70%,"-$3,408.70",-498.50%,"$44,275","$24,170"
9,Alphabet,"135,301",2,Information Technology And Services,"Alphabet Inc. Is An American Multinational Conglomerate Headquartered In Mountain View, California. It Was Created Through A Restructuring Of Google On October 2, 2015,[2] And Became The Parent Company Of Google And Several Former Google Subsidiaries.the Two Co-founders Of Google Remained As Controlling Shareholders, Board Members, And Employees At Alphabet. Alphabet Is The World's Fourth-largest Technology Company By Revenue And One Of The World's Most Valuable Companies.","$182,527",12.80%,"$40,269.00",17.30%,"$319,616","$1,392,562"
10,Exxon Mobil,"72,000",-7,Corporation,"Exxon Mobil Corp. engages in the exploration, development, and distribution of oil, gas, and petroleum products.","$181,502",-31.50%,"-$22,440.00",-256.50%,"$332,750","$236,355"
11,AT&T,"230,760",-2,Telecommunications Company,"At&t Inc. Is An American Multinational Conglomerate Holding Company, Delaware-registered But Headquartered At Whitacre Tower In Downtown Dallas, Texas. ","$171,760",-5.20%,"-$5,176.00",-137.20%,"$525,761","$215,879"
12,Costco Wholesale,"214,500",2,Retail Company,Costco Wholesale Corporation Is An American Multinational Corporation Which Operates A Chain Of Membership-only Warehouse Clubs.,"$166,761",9.20%,"$4,002.00",9.40%,"$55,556","$155,984"
13,Cigna,"72,963",-,Insurance Company,"Cigna Is An American Worldwide Health Services Organization Based In Bloomfield, Connecticut. Its Insurance Subsidiaries Are Major Providers Of Medical, Dental, Disability, Life And Accident Insurance And Related Products And Services, The Majority Of Which Are Offered Through Employers And Other Groups.","$160,401",4.50%,"$8,458.00",65.70%,"$155,451","$83,976"
14,Cardinal Health,"48,000",2,Health Care Company,"Cardinal Health, Inc. Is An American Multinational Health Care Services Company, And The 14th Highest Revenue Generating Company In The United States. Its Headquarters Are Based In Dublin, Ohio And Dublin, Ireland.","$152,922",5.10%,"-$3,696.00",-371.20%,"$40,766","$17,840"
15,Microsoft,"163,000",6,Technology Company,"Microsoft Corporation Is An American Multinational Technology Company With Headquarters In Redmond, Washington. It Develops, Manufactures, Licenses, Supports, And Sells Computer Software, Consumer Electronics, Personal Computers, And Related Services.","$143,015",13.60%,"$44,281.00",12.80%,"$301,311","$1,778,228"
16,Walgreens Boots Alliance,"277,000",3,Retail Company,"Walgreens Boots Alliance, Inc. Is An American Holding Company Headquartered In Deerfield, Illinois, That Owns Walgreens, Boots, And A Number Of Pharmaceutical Manufacturing, Wholesale, And Distribution Companies.","$139,537",2.00%,$456.00,-88.50%,"$87,174","$47,455"
17,Kroger,"465,000",6,Retail Company,"The Kroger Company, Or Simply Kroger, Is An American Retail Company Founded By Bernard Kroger In 1883 In Cincinnati, Ohio. It Is The United States' Largest Supermarket By Revenue, And The Second-largest General Retailer.","$132,498",8.40%,"$2,585.00",55.80%,"$48,662","$27,064"
18,Home Depot,"504,800",8,Home Improvement Company,"The Home Depot, Inc., Commonly Known As Home Depot, Is The Largest Home Improvement Retailer In The United States, Supplying Tools, Construction Products, And Services. The Company Is Headquartered In Incorporated Cobb County, Georgia, With An Atlanta Mailing Address.","$132,110",19.90%,"$12,866.00",14.40%,"$70,581","$328,775"
19,JPMorgan Chase,"255,351",-2,Investment Banking Company,"Jpmorgan Chase & Co. Is An American Multinational Investment Bank And Financial Services Holding Company Headquartered In New York City. Jpmorgan Chase Is Ranked By S&p Global As The Largest Bank In The United States And The Seventh Largest Bank In The World By Total Assets, With Total Assets Of Us$3.213 Trillion.","$129,503",-9.10%,"$29,131.00",-20.00%,"$3,386,071","$464,531"
20,Verizon Communications,"132,200",-,Telecommunications Company,"Verizon Communications Inc. Is An American Multinational Telecommunications Conglomerate And A Corporate Component Of The Dow Jones Industrial Average. The Company Is Based At 1095 Avenue Of The Americas In Midtown Manhattan, New York City, But Is Incorporated In Delaware.","$128,292",-2.70%,"$17,801.00",-7.60%,"$316,481","$240,633"
21,Ford Motor,"186,000",-9,Automaker Company,"Ford Motor Company, Commonly Known As Ford, Is An American Multinational Automaker That Has Its Main Headquarters In Dearborn, Michigan, A Suburb Of Detroit. It Was Founded By Henry Ford And Incorporated On June 16, 1903.","$127,144",-18.40%,"-$1,279.00",-2821.30%,"$267,261","$48,739"
22,General Motors,"155,000",-4,Vehicle Manufacturer,"General Motors Company Is An American Multinational Corporation Headquartered In Detroit That Designs, Manufactures, Markets, And Distributes Vehicles And Vehicle Parts, And Sells Financial Services, With Global Headquarters In Detroit's Renaissance Center.","$122,485",-10.70%,"$6,427.00",-4.50%,"$235,194","$82,795"
