Rank,Name,Ticker,Sector,Industry,Revenue,Profit,m1-o,m1-c,m2-o,m2-c,m3-o,m3-c,m4-o,m4-c,m5-o,m5-c,m6-o,m6-c,m7-o,m7-c,m8-o,m8-c,m9-o,m9-c,m10-o,m10-c,m11-o,m11-c,m12-o,m12-c,ur-1,ur-2,ur-3,ur-4,ur-5,ur-6,ur-7,ur-8,ur-9,ur-10,ur-11,ur-12,gdp-1,gdp-2,gdp-3,gdp-4,gdp-5,gdp-6,gdp-7,gdp-8,gdp-9,gdp-10,gdp-11,gdp-12
1,Walmart,WMT,Consumer Defensive,Discount Stores,"$559,151 ","$13,510.00 ",48.1,46.83,46.97,43.3067,43.86,45.2767,45.3133,46.6367,46.56,47.3433,47.4033,47.0067,46.8033,47.5167,47.61,49.3667,49.1867,46.46,46.42,49.8067,49.9933,46.8767,46.8367,48.23,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
2,Amazon,AMZN,Consumer Cyclical,Internet Retail,"$386,064 ","$21,331.00 ",163.5,160.31,162.118,154.6465,156.3945,154.704,155.897,173.371,174.2365,161.1535,162.1748,172.008,171.7305,166.3795,167.655,173.5395,174.8198,164.252,164.4505,168.6215,168.09,175.3535,177.25,166.717,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
3,Apple,AAPL,Technology,Consumer Electronics,"$274,515 ","$57,411.00 ",133.52,131.96,133.75,121.26,123.75,122.15,123.66,131.46,132.04,124.61,125.08,136.96,136.6,145.86,146.36,151.83,152.83,141.5,141.9,149.8,148.985,165.3,167.48,177.57,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
4,CVS Health,CVS,Healthcare,Healthcare Plans,"$268,706 ","$7,179.00 ",68.68,71.65,72.08,68.13,68.42,75.23,75.23,76.4,77,86.44,86.5,83.44,83.71,82.36,82.36,86.39,86.1,84.86,84.8,89.28,89.77,89.06,90.18,103.16,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
5,UnitedHealth Group,UNH,Healthcare,Healthcare Plans,"$257,141 ","$15,403.00 ",351.45,333.58,335.03,332.22,334.36,372.07,372.2,398.8,401,411.92,413.73,400.44,402.03,412.22,413.57,416.27,416.54,390.74,391.6,460.47,461.82,444.22,452.89,502.14,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
6,Berkshire Hathaway,BRKA,,,"$245,510 ","$42,521.00 ",,,,,,,,,,,,,,,,,,,,,,,,,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
7,McKesson,MCK,Healthcare,Medical Distribution,"$231,051 ",$900.00 ,174.28,174.47,176.44,169.52,171.15,195.04,194.83,187.56,189.51,192.39,189.12,191.24,191.91,203.83,203.84,204.14,203.55,199.38,199.84,207.88,208.58,216.76,219.61,248.57,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
8,AmerisourceBergen,ABC,,,"$189,894 ","($3,408.70)",,,,,,,,,,,,,,,,,,,,,,,,,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
9,Alphabet,GOOGL,Communication Services,Internet Content & Information,"$182,527 ","$40,269.00 ",88,91.368,92.2293,101.0955,102.4,103.126,104.6125,117.675,118.2455,117.8425,118.722,122.0895,121.725,134.7265,135.117,144.6975,145,133.676,134.4475,148.046,148.046,141.8975,144,144.852,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
10,Exxon Mobil,XOM,Energy,Oil & Gas Integrated,"$181,502 ","($22,440.00)",41.45,44.84,45.58,54.37,56.47,55.83,56.32,57.24,57.98,58.37,59.45,63.08,64.33,57.57,57.55,54.52,54.49,58.82,59.41,64.47,65.065,59.84,60.9,61.19,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
11,AT&T,T,Communication Services,Telecom Services,"$171,760 ","($5,176.00)",38.9124,37.9061,38.3166,36.9264,37.2838,40.0775,40.0378,41.5868,42.0767,38.9653,39.005,38.1047,38.2504,37.1382,37.3898,36.3041,36.3306,35.7612,35.9267,33.4442,33.709,30.2269,30.452,32.5704,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
12,Costco Wholesale,COST,Consumer Defensive,Discount Stores,"$166,761 ","$4,002.00 ",377.43,352.43,351.21,331,335.21,352.48,352.54,372.09,373.84,378.27,379.925,395.67,396.3,429.72,430.62,455.49,455.48,449.35,449.73,491.54,494.15,539.38,543.1,567.7,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
13,Cigna,CI,Healthcare,Healthcare Plans,"$160,401 ","$8,458.00 ",209.14,217.05,218.11,209.9,212.37,241.74,242.35,249.01,250.5,258.85,260.07,237.07,238.33,229.49,230,211.65,212.86,200.16,201,213.61,213.82,191.9,195.46,229.63,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
14,Cardinal Health,CAH,Healthcare,Medical Distribution,"$152,922 ","($3,696.00)",53.88,53.73,53.93,51.52,51.94,60.75,60.58,60.34,60.9,56.07,56.095,57.09,57.14,59.38,59.43,52.49,52.4,49.46,49.68,47.81,47.71,46.23,46.91,51.49,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
15,Microsoft,MSFT,Technology,Software - Infrastructure,"$143,015 ","$44,281.00 ",222.53,231.96,235.06,232.38,235.9,235.77,238.47,252.18,253.4,249.68,251.23,270.9,269.61,284.91,286.36,301.88,302.865,281.92,282.1217,331.62,331.355,330.59,335.13,336.32,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
16,Walgreens Boots Alliance,WBA,Healthcare,Pharmaceutical Retailers,"$139,537 ",$456.00 ,40.1706,50.25,49.81,47.93,48.4192,54.9,54.5724,53.1,53.44,52.66,52.99,52.61,51.82,47.15,47.4228,50.75,50.73,47.05,47.1262,47.02,47.1,44.8,45.3,52.16,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
17,Kroger,KR,Consumer Defensive,Grocery Stores,"$132,498 ","$2,585.00 ",31.77,34.5,34.51,32.21,32.07,35.99,35.96,36.54,36.62,36.98,37.295,38.31,38.21,40.7,40.75,46.03,45.92,40.43,40.4,40.02,40.14,41.53,41.53,45.26,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
18,Home Depot,HD,Consumer Cyclical,Home Improvement Retail,"$132,110 ","$12,866.00 ",266.01,270.82,271.23,258.34,258.81,305.25,306.88,323.67,326.28,318.91,320.66,318.89,319.91,328.19,330,326.18,325.56,328.26,328.15,371.74,373,400.61,402.08,415.01,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
19,JPMorgan Chase,JPM,Financial Services,Banks - Diversified,"$129,503 ","$29,131.00 ",127.5,128.67,129.4,147.17,149.52,152.23,151.9,153.81,154.85,164.24,165.87,155.54,156.26,151.78,152.03,159.95,160.22,163.69,164,169.89,172.04,158.83,161,158.35,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
20,Verizon Communications,VZ,Communication Services,Telecom Services,"$128,292 ","$17,801.00 ",58.96,54.75,55.27,55.3,55.49,58.15,58.02,57.79,58.23,56.49,56.75,56.03,56.18,55.78,56.06,55,55,54.01,54.02,52.99,53.24,50.27,50.5,51.96,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
21,Ford Motor,F,Consumer Cyclical,Auto Manufacturers,"$127,144 ","($1,279.00)",8.81,10.53,10.65,11.7,11.87,12.25,12.28,11.54,11.56,14.53,14.72,14.86,14.91,13.95,14.02,13.03,13.03,14.16,14.26,17.08,17.5,19.19,19.63,20.77,6.4,6.2,6.1,6.1,5.8,5.9,5.4,5.1,4.7,4.5,4.1,3.9,21020.854,20758.5,21196.372,21270.734,21306.106,21355.787,21432.14,21467.692,21553.345,21777.972,21783.761,21985.168
