Rank,Name,Ticker,Sector,Industry,Revenue,Profit,m1-o,m1-c,m2-o,m2-c,m3-o,m3-c,m4-o,m4-c,m5-o,m5-c,m6-o,m6-c,m7-o,m7-c,m8-o,m8-c,m9-o,m9-c,m10-o,m10-c,m11-o,m11-c,m12-o,m12-c
1,Walmart,WMT,Consumer Defensive,Discount Stores,"$611,289 ","$11,680 ",47.5167,47.9567,47.8867,47.3767,47.02,49.15,49.2433,50.3233,50.3467,48.9567,48.7367,52.3933,52.27,53.2867,53.3167,54.2033,54.29,53.31,53.1633,54.47,54.7367,51.8967,51.7933,52.55
2,Amazon.com,AMZN,Consumer Cyclical,Internet Retail,"$513,983 ","($2,722)",85.46,103.13,102.53,94.23,93.87,103.29,102.3,105.45,104.95,120.58,120.69,130.36,130.82,133.68,133.55,138.01,139.455,127.12,127.28,133.09,133.96,146.09,146,151.94
3,Exxon Mobil,XOM,Energy,Oil & Gas Integrated,"$413,680 ","$55,740 ",109.78,116.01,115.83,109.91,109.31,109.66,113.39,118.34,115.99,102.18,101.75,107.25,107.49,107.24,106.95,111.19,112.2,117.58,117.53,105.85,106.53,102.74,102.5,99.98
4,Apple,AAPL,Technology,Consumer Electronics,"$394,328 ","$99,803 ",130.28,144.29,143.97,147.41,146.83,164.9,164.27,169.68,169.28,177.25,177.7,193.97,193.78,196.45,196.235,187.87,189.485,171.21,171.22,170.77,171,189.95,190.33,192.53
5,UnitedHealth Group,UNH,Healthcare,Healthcare Plans,"$324,162 ","$20,120 ",525.13,499.19,499.95,475.94,473.61,472.59,485.2,492.09,494.59,487.24,487.79,480.64,478.1,506.37,507.5,476.58,479,504.19,505.53,535.56,529.98,552.97,550.42,526.47
6,CVS Health,CVS,Healthcare,Healthcare Plans,"$322,467 ","$4,149 ",91.72,88.22,88.01,83.54,82.9,74.31,75.03,73.31,73.59,68.03,68.34,69.13,69.12,74.69,74.76,65.17,65.4,69.82,69.54,69.01,65.75,67.95,67.91,78.96
7,Berkshire Hathaway,BRKA,,,"$302,089 ","($22,819)",,,,,,,,,,,,,,,,,,,,,,,,
8,Alphabet,GOOGL,Communication Services,Internet Content & Information,"$282,836 ","$59,972 ",89.585,98.84,98.71,90.06,89.98,103.73,102.39,107.34,106.84,122.87,122.815,119.7,119.24,132.72,130.775,136.17,137.455,130.86,131.21,124.08,124.07,132.53,131.86,139.69
9,McKesson,MCK,Healthcare,Medical Distribution,"$263,966 ","$1,114 ",372.74,378.68,374.69,349.81,348.33,356.05,358.58,364.24,365.16,390.84,392.3,427.31,422.75,402.4,402.5,412.32,413.29,434.85,433.55,455.36,453.55,470.56,472.46,462.98
10,Chevron,CVX,Energy,Oil & Gas Integrated,"$246,252 ","$35,465 ",178.04,174.02,173.31,160.77,160.92,163.16,169.8,168.58,167.71,150.62,151.3,157.35,157.18,163.66,163.64,161.1,162.64,168.62,168.34,145.73,145.98,143.6,143.49,149.16
11,AmerisourceBergen,ABC,,,"$238,587 ","$1,699 ",,,,,,,,,,,,,,,,,,,,,,,,
12,Costco Wholesale,COST,Consumer Defensive,Discount Stores,"$226,954 ","$5,844 ",458,511.14,508.31,484.18,481.1,496.87,496.5,503.22,499.15,511.56,509.33,538.38,537.25,560.67,560.63,549.28,553.07,564.96,567.91,552.44,555,592.74,593.28,660.08
13,Microsoft,MSFT,Technology,Software - Infrastructure,"$198,270 ","$72,738 ",243.08,247.81,248,249.42,250.76,288.3,286.52,307.26,306.97,328.39,325.93,340.54,339.19,335.92,335.19,327.76,331.31,315.75,316.28,338.11,339.79,378.91,376.76,376.04
14,Cardinal Health,CAH,Healthcare,Medical Distribution,"$181,364 ",($933),76.46,77.25,77,75.71,75.45,75.5,75.79,82.1,82.18,82.3,82.84,94.57,93.83,91.47,91.31,87.33,87.61,86.82,85.98,91,91.07,107.08,107.005,100.8
15,Cigna Group,CI,Healthcare,Healthcare Plans,"$180,516 ","$6,668 ",327.36,316.67,315,292.1,288.92,255.53,259.74,253.29,253.29,247.41,248.86,280.6,278.95,295.1,295.79,276.26,277.81,286.07,285.71,309.2,307.75,262.88,263.96,299.45
16,Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing,"$180,012 ","$14,516 ",115.65,128.52,128.85,123.6,123.67,134.83,137.23,122,121.44,104.91,105.45,116.6,117.16,133.02,131.79,142.77,145.1,151.34,151.06,151.25,152.43,149.19,148.78,148.36
17,Phillips 66,PSX,Energy,Oil & Gas Refining & Marketing,"$175,702 ","$11,024 ",103.4,100.27,99.8,102.56,103,101.38,104.99,99,98.2,91.61,92.88,95.38,95.65,111.55,111.185,114.16,116.13,120.15,120.09,114.07,114.85,128.89,128.5,133.14
18,Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing,"$171,189 ","$11,528 ",125.75,140.03,140.88,131.73,132.5,139.6,141.92,114.67,114.44,107.04,107.18,117.3,118.32,128.91,128.53,129.9,132,141.71,141.71,127,127.86,125.36,125,130
19,Ford Motor,F,Consumer Cyclical,Auto Manufacturers,"$158,057 ","($1,981)",11.82,13.51,13.52,12.07,12.35,12.6,12.525,11.88,12.005,12,12.065,15.13,15.15,13.21,13.15,12.13,12.16,12.42,12.38,9.75,9.835,10.26,10.29,12.19
20,Home Depot,HD,Consumer Cyclical,Home Improvement Retail,"$157,403 ","$17,105 ",317.42,324.17,322.39,296.54,291.92,295.12,294.87,300.54,298.98,283.45,284.05,310.64,309.78,333.84,331.76,330.3,332,302.16,300.52,284.69,285.59,313.49,313.83,346.55
21,General Motors,GM,Consumer Cyclical,Auto Manufacturers,"$156,735 ","$9,934 ",34.015,39.32,39.45,38.74,38.68,36.68,36.38,33.04,34,32.41,32.49,38.56,38.74,38.37,38.04,33.51,33.59,32.97,32.84,28.2,28.73,31.6,31.52,35.92
22,Elevance Health,ELV,Healthcare,Healthcare Plans,"$156,595 ","$6,025 ",508.68,499.99,499.01,469.67,464.3,459.81,467.49,468.65,468.82,447.82,449.8,444.29,442.54,471.63,472.58,442.01,445.83,435.42,436.02,450.09,448.52,479.49,478.42,471.56
23,JPMorgan Chase,JPM,Financial Services,Banks - Diversified,"$154,792 ","$37,676 ",135.24,139.96,138.21,143.35,142.1,130.31,129.91,138.24,142.26,135.71,136.52,145.44,146.19,157.96,157.43,146.33,146.09,145.02,144.83,139.06,139.25,156.08,155.82,170.1
24,Kroger,KR,Consumer Defensive,Grocery Stores,"$148,258 ","$2,244 ",44.48,44.63,44.41,43.14,42.96,49.37,49.57,48.63,48.88,45.33,45.18,47,46.95,48.64,48.67,46.39,46.45,44.75,44.61,45.37,45.56,44.27,44.51,45.71
25,Centene,CNC,Healthcare,Healthcare Plans,"$144,547 ","$1,202 ",82,76.24,76.04,68.4,67.87,63.21,64.61,68.93,68.905,62.41,62.69,67.45,67.12,68.09,68.15,61.65,61.95,68.88,68.67,68.98,68.71,73.68,73.54,74.21
26,Verizon Communications,VZ,Communication Services,Telecom Services,"$136,835 ","$21,256 ",39.77,41.57,41.99,38.81,38.71,38.89,39.05,38.83,39.17,35.63,35.6,37.19,37.17,34.08,34.29,34.98,34.99,32.41,32.44,35.13,35.405,38.33,38.4,37.7
27,Walgreens Boots Alliance,WBA,Healthcare,Pharmaceutical Retailers,"$132,703 ","$4,337 ",37.85,36.86,36.815,35.53,35.25,34.58,34.89,35.25,35.3,30.37,30.285,28.49,28.3901,29.97,29.97,25.31,25.17,22.24,22.24,21.08,20.97,19.94,19.95,26.11
28,Fannie Mae,FNMA,Financial Services,Mortgage Finance,"$121,596 ","$12,923 ",0.3521,0.46675,0.4693,0.4535,0.455,0.41,0.406,0.43275,0.43,0.44,0.44,0.44,0.44,0.4449,0.44,0.6273,0.621,0.619,0.617,0.747,0.748,0.742,0.742,1.07
29,Comcast,CMCSA,Communication Services,Telecom Services,"$121,427 ","$5,370 ",34.94,39.35,39.095,37.17,36.88,37.91,38,41.37,42,39.35,39.57,41.55,40.98,45.26,45.46,46.76,46.67,44.34,44.25,41.29,41.37,41.89,42.245,43.85
30,AT&T,T,Communication Services,Telecom Services,"$120,741 ","($8,524)",18.51,20.37,20.47,18.91,18.83,19.25,19.27,17.67,17.74,15.73,15.75,15.95,15.95,14.52,14.56,14.79,14.81,15.02,15.04,15.4,15.49,16.57,16.6,16.78
31,Meta Platforms,META,Communication Services,Internet Content & Information,"$116,609 ","$23,200 ",122.82,148.97,148.03,174.94,174.59,211.94,208.84,240.32,238.615,264.72,265.9,286.98,286.7,318.6,317.535,295.89,299.37,300.21,302.74,301.27,301.85,327.15,325.48,353.96
32,Bank of America,BAC,Financial Services,Banks - Diversified,"$115,053 ","$27,528 ",33.23,35.48,35.2,34.3,34.15,28.6,28.64,29.28,29.5,27.79,27.76,28.69,28.7,32,31.84,28.67,28.76,27.38,27.27,26.34,26.44,30.49,30.4,33.67
33,Target,TGT,Consumer Defensive,Discount Stores,"$109,120 ","$2,780 ",149.975,172.14,172.11,168.5,168.16,165.63,166.4,157.75,157.68,130.93,128.6,131.9,131.59,136.47,136.33,126.55,127.55,110.57,110.35,110.79,111.08,133.81,133.4,142.42
34,Dell Technologies,DELL,Technology,Computer Hardware,"$102,301 ","$2,442 ",40.56,40.62,40.5,40.64,40.84,40.21,40.14,43.49,43.49,44.81,45.005,54.11,54,52.92,52.78,56.24,64.09,68.9,68.61,66.91,67.29,75.87,71.86,76.5
35,Archer Daniels Midland,ADM,Consumer Defensive,Farm Products,"$101,556 ","$4,340 ",92.75,82.85,82.74,79.6,79.64,79.66,79.6,78.08,78.24,70.65,70.97,75.56,75.69,84.96,84.43,79.3,79.84,75.42,74.8,71.57,71.85,73.73,73.76,72.22
36,Citigroup,C,Financial Services,Banks - Diversified,"$101,078 ","$14,845 ",45.75,52.22,51.54,50.69,50.46,46.89,47.14,47.07,47.88,44.32,44.6801,46.04,46.08,47.66,47.33,41.29,41.59,41.13,40.99,39.49,39.54,46.1,46,51.44
37,United Parcel Service,UPS,Industrials,Integrated Freight & Logistics,"$100,338 ","$11,548 ",174.27,185.23,184.68,182.49,181.93,193.99,192.83,179.81,179.95,167,167.51,179.25,178.26,187.13,186.86,169.4,170.52,155.87,155.145,141.25,141.38,151.61,151.99,157.23
38,Pfizer,PFE,Healthcare,Drug Manufacturers - General,"$100,330 ","$31,372 ",51.01,44.16,43.905,40.57,40.56,40.8,40.69,38.89,39,38.02,38.12,36.68,36.5,36.06,35.88,35.38,35.64,33.17,32.95,30.56,30.56,30.47,28.97,28.79
39,Lowe's,LOW,Consumer Cyclical,Home Improvement Retail,"$97,059 ","$6,437 ",201.49,208.25,207.455,205.75,205.44,199.97,201.07,207.83,207.83,201.13,200.96,225.7,224.62,234.27,232.94,230.48,232.3,207.84,207.38,190.57,191.18,198.83,199.2,222.55
40,Johnson & Johnson,JNJ,Healthcare,Drug Manufacturers - General,"$94,943 ","$17,941 ",176.16,163.42,162.99,153.26,153.01,155,154.95,163.7,163.6,155.06,154.54,165.52,164.34,167.53,166.365,161.68,161.42,155.75,155.42,148.34,149.19,154.66,156.44,156.74
41,FedEx,FDX,Industrials,Integrated Freight & Logistics,"$93,512 ","$3,826 ",174.97,193.86,193.1,203.22,203.25,228.49,227.32,227.78,228.45,217.98,217.51,247.9,247.11,269.95,269.28,261.02,262.75,264.92,266,240.1,240.56,258.83,259.15,252.97
42,Humana,HUM,Healthcare,Healthcare Plans,"$92,870 ","$2,806 ",508.24,511.7,506.09,495.02,491.85,485.46,500.08,530.49,531.23,501.87,502.98,447.13,444,456.83,458.23,461.63,464,486.52,486.24,523.69,500.34,484.86,483.03,457.81
43,Energy Transfer,ET,Energy,Oil & Gas Midstream,"$89,876 ","$4,756 ",11.9,13.28,13.35,12.66,12.69,12.47,12.73,12.88,12.93,12.4,12.46,12.7,12.77,13.29,13.3,13.47,13.6,14.03,14.04,13.15,13.12,13.89,13.86,13.8
44,State Farm Insurance,,,,"$89,328 ","($6,654)",,,,,,,,,,,,,,,,,,,,,,,,
45,Freddie Mac,FMCC,Financial Services,Mortgage Finance,"$86,717 ","$9,327 ",0.36,0.465,0.46715,0.45105,0.4531,0.40838,0.405,0.427,0.426,0.4405,0.442,0.4337,0.4337,0.4434,0.44305,0.6,0.61,0.592,0.6049,0.65,0.65,0.66,0.66297,0.85
46,PepsiCo,PEP,Consumer Defensive,Beverages - Non-Alcoholic,"$86,392 ","$8,910 ",180.59,171.02,170.88,173.53,172.32,182.3,181.9,190.89,190.45,182.35,182.42,185.22,184.3,187.46,187.49,177.92,178.73,169.44,169.08,163.28,163.67,168.29,168.37,169.84
47,Wells Fargo,WFC,Financial Services,Banks - Diversified,"$82,859 ","$13,182 ",41.61,46.87,46.655,46.77,46.5,37.38,37.52,39.75,40.49,39.81,40.21,42.68,42.88,46.16,46.01,41.29,41.55,40.86,40.695,39.77,39.96,44.59,44.51,49.22
48,Walt Disney,DIS,Communication Services,Entertainment,"$82,722 ","$3,145 ",88.98,108.49,108.5,99.61,99.19,100.13,100.21,102.5,102.405,87.96,88.4,89.28,89.115,88.89,89.12,83.68,82.105,81.05,80.92,81.59,81.53,92.69,92.74,90.29
49,ConocoPhillips,COP,Energy,Oil & Gas E&P,"$82,156 ","$18,680 ",116.56,121.87,120.71,103.35,103.73,99.21,105.13,102.89,101.58,99.3,99.57,103.61,103.95,117.72,117.26,119.03,120,119.8,120.24,118.8,119.48,115.57,115.03,116.07
50,Tesla,TSLA,Consumer Cyclical,Auto Manufacturers,"$81,462 ","$12,556 ",118.47,173.22,173.89,205.71,206.21,207.46,199.91,164.31,163.17,203.93,202.59,261.77,276.49,267.43,266.26,258.08,257.26,250.22,244.81,200.84,204.04,240.08,233.14,248.48
51,Procter & Gamble,PG,Consumer Defensive,Household & Personal Products,"$80,187 ","$14,742 ",150.95,142.38,142.08,137.56,138.05,148.69,148.425,156.38,156.03,142.5,143.25,151.74,151.48,156.3,155.88,154.34,154.9,145.86,144.78,150.03,150.68,153.52,153.33,146.54
52,General Electric,GE,Industrials,Specialty Industrial Machinery,"$76,555 ",$225 ,84.05,80.48,80.27,84.71,84.66,95.6,95.75,98.97,99.49,101.53,101.21,109.85,109.06,114.24,113.69,114.46,115.02,110.55,110.45,108.63,108.3,121.8,121.7,127.63
53,Albertsons,ACI,Consumer Defensive,Grocery Stores,"$71,887 ","$1,620 ",20.81,21.2,21.13,19.88,19.8,20.78,20.86,20.9,20.98,20.36,20.26,21.82,21.79,21.73,21.73,22.4,22.45,22.75,22.71,21.7,21.75,21.77,21.81,23
54,MetLife,MET,Financial Services,Insurance - Life,"$69,898 ","$2,539 ",72.44,73.02,72.42,71.73,71.505,57.94,58.27,61.33,60.95,49.55,49.77,56.53,56.71,62.97,62.67,63.34,63.8,62.91,62.48,60.01,60,63.63,63.39,66.13
55,Goldman Sachs Group,GS,Financial Services,Capital Markets,"$68,711 ","$11,261 ",345.5,365.81,359.1,351.65,349.39,327.11,326.14,343.44,344.05,323.9,324.51,322.54,322.41,355.87,354,327.71,329.67,323.57,322.03,303.61,303.33,341.54,341.46,385.77
56,Sysco,SYY,Consumer Defensive,Food Distribution,"$68,636 ","$1,359 ",76.45,77.46,77.88,74.57,74.01,77.23,77.35,76.74,76.88,69.95,70.31,74.2,73.94,76.31,76.92,69.65,69.88,66.05,66.005,66.49,66.36,72.17,72.4,73.13
57,Raytheon Technologies,RTX,Industrials,Aerospace & Defense,"$67,074 ","$5,197 ",100.99,99.85,99.93,98.09,98.04,97.93,98.27,99.9,99.93,92.14,92.28,97.96,97.49,87.93,87.15,86.04,86.61,71.97,71.74,81.39,82,81.48,81.48,84.14
58,Boeing,BA,Industrials,Aerospace & Defense,"$66,608 ","($4,935)",192.95,213,212.11,201.55,201.47,212.43,212.8,206.78,206.25,205.7,206.46,211.16,210.5,238.85,237.55,224.03,226,191.68,191.47,186.82,189.69,231.63,231.77,260.66
59,StoneX Group,SNEX,Financial Services,Capital Markets,"$66,036 ",$207 ,63.4133,58.5867,58.2933,67.22,67.02,69.02,69.26,65.38,65.32,53.5267,53.6333,55.3867,55.2267,61.34,61.04,62.5867,62.62,64.6133,64.1333,63.5467,63.34,61.13,60.65,73.83
60,Lockheed Martin,LMT,Industrials,Aerospace & Defense,"$65,984 ","$5,732 ",483.39,463.26,462.51,474.26,473.27,472.73,473,464.45,465.04,444.01,445.6,460.38,460,446.37,447.03,448.35,450.32,408.96,408.96,454.64,456.33,447.77,448.4,453.24
61,Morgan Stanley,MS,Financial Services,Capital Markets,"$65,936 ","$11,029 ",85.635,97.33,96.95,96.5,95.96,87.8,87.95,89.97,90.19,81.76,82.58,85.4,86.34,91.56,91.2,85.15,86,81.67,81.1,70.82,71.17,79.34,79.08,93.25
62,Intel,INTC,Technology,Semiconductors,"$63,054 ","$8,014 ",27.045,28.26,27.89,24.93,25.03,32.67,32.94,31.06,31.11,31.44,31.8,33.44,33.54,35.77,35.82,35.14,35.79,35.55,35.61,36.5,36.5,44.7,44.36,50.25
63,HP,HPQ,Technology,Computer Hardware,"$62,983 ","$3,203 ",27,29.14,29.04,29.52,29.96,29.35,29.34,29.71,29.86,29.06,29.27,30.71,30.7,32.83,32.57,29.71,29.95,25.7,25.64,26.33,26.41,29.34,29.11,30.09
64,TD Synnex,SNX,Technology,Electronics & Computer Distribution,"$62,344 ",$651 ,95.41,102.15,101.85,96.52,96.91,96.79,96.3,89.04,89.96,89.38,89.31,94,92.63,98.71,98.42,101.75,102.5,99.86,99.9,91.68,91.33,98.64,98.63,107.61
65,International Business Machines,IBM,Technology,Information Technology Services,"$60,530 ","$1,639 ",141.1,134.73,134.49,129.3,128.9,131.09,130.97,126.41,126.35,128.59,128.44,133.81,133.42,144.18,144.25,146.83,147.26,140.3,140.04,144.64,145,158.56,158.41,163.55
